,xbin,zbin,bin.hits,lidar.pulses,sky.hits,can.hits,Freq,vai,,,,
353,16,7,124,485,0,485,1,2.202504749,,,,
354,16,8,0,0,0,0,1,0,,,,
355,16,9,72,485,0,485,1,1.54566758,,,,
356,16,10,1,485,0,485,1,0.032126563,,,,
357,16,11,0,0,0,0,1,0,,,,
358,16,12,0,0,0,0,1,0,,,,
359,16,13,0,0,0,0,1,0,,,,
360,16,14,0,0,0,0,1,0,,,,
361,16,15,0,0,0,0,1,0,,,,
362,16,16,0,0,0,0,1,0,,,,
363,16,17,0,0,0,0,1,0,,,,
364,16,18,0,0,0,0,1,0,,,,
365,16,19,0,0,0,0,1,0,,,,
366,16,20,0,0,0,0,1,0,,,,
367,16,21,0,0,0,0,1,0,,,,
368,16,22,0,0,0,0,1,0,,,,
369,17,0,0,0,0,0,1,0,,,,
370,17,1,0,0,0,0,1,0,,,,
371,17,2,0,0,0,0,1,0,,,,
372,17,3,19,486,0,486,1,0.535520506,,,,
373,17,4,27,486,0,486,1,0.724156197,,,,
374,17,5,0,0,0,0,1,0,,,,
375,17,6,296,486,0,486,1,3.509935957,,,,
376,17,7,97,486,0,486,1,1.885856029,,,,
377,17,8,47,486,0,486,1,1.130064501,,,,
378,17,9,0,0,0,0,1,0,,,,
379,17,10,0,0,0,0,1,0,,,,
380,17,11,0,0,0,0,1,0,,,,
381,17,12,0,0,0,0,1,0,,,,
382,17,13,0,0,0,0,1,0,,,,
383,17,14,0,0,0,0,1,0,,,,
384,17,15,0,0,0,0,1,0,,,,
385,17,16,0,0,0,0,1,0,,,,
386,17,17,0,0,0,0,1,0,,,,
387,17,18,0,0,0,0,1,0,,,,
388,17,19,0,0,0,0,1,0,,,,
389,17,20,0,0,0,0,1,0,,,,
390,17,21,0,0,0,0,1,0,,,,
391,17,22,0,0,0,0,1,0,,,,
392,18,0,0,0,0,0,1,0,,,,
393,18,1,0,0,0,0,1,0,,,,
394,18,2,0,0,0,0,1,0,,,,
395,18,3,0,0,0,0,1,0,,,,
396,18,4,0,0,0,0,1,0,,,,
397,18,5,0,0,0,0,1,0,,,,
398,18,6,10,485,0,485,1,0.300164654,,,,
399,18,7,61,485,0,485,1,1.3740292,,,,
400,18,8,183,485,0,485,1,2.754162659,,,,
401,18,9,0,0,0,0,1,0,,,,
402,18,10,0,0,0,0,1,0,,,,
403,18,11,0,0,0,0,1,0,,,,
404,18,12,0,0,0,0,1,0,,,,
405,18,13,0,0,0,0,1,0,,,,
406,18,14,41,485,0,485,1,1.018343607,,,,
407,18,15,176,485,0,485,1,2.696128731,,,,
408,18,16,0,0,0,0,1,0,,,,
409,18,17,0,0,0,0,1,0,,,,
410,18,18,0,0,0,0,1,0,,,,
411,18,19,0,0,0,0,1,0,,,,
412,18,20,13,485,0,485,1,0.382081643,,,,
413,18,21,1,485,0,485,1,0.032126563,,,,
414,18,22,0,0,0,0,1,0,,,,
415,19,0,0,0,0,0,1,0,,,,
416,19,1,0,0,0,0,1,0,,,,
417,19,2,0,0,0,0,1,0,,,,
418,19,3,22,485,7,478,1,0.609440844,,,,
419,19,4,6,485,7,478,1,0.185446287,,,,
420,19,5,0,0,0,0,1,0,,,,
421,19,6,2,485,7,478,1,0.063745216,,,,
422,19,7,188,485,7,478,1,2.794608094,,,,
423,19,8,0,0,0,0,1,0,,,,
424,19,9,102,485,7,478,1,1.950390535,,,,
425,19,10,0,0,0,0,1,0,,,,
426,19,11,0,0,0,0,1,0,,,,
427,19,12,5,485,7,478,1,0.155708226,,,,
428,19,13,0,0,0,0,1,0,,,,
429,19,14,45,485,7,478,1,1.094721471,,,,
430,19,15,90,485,7,478,1,1.79818259,,,,
431,19,16,0,0,0,0,1,0,,,,
432,19,17,0,0,0,0,1,0,,,,
433,19,18,14,485,7,478,1,0.4086583,,,,
434,19,19,0,0,0,0,1,0,,,,
435,19,20,0,0,0,0,1,0,,,,
436,19,21,4,485,7,478,1,0.125521306,,,,
437,19,22,0,0,0,0,1,0,,,,
438,20,0,0,0,0,0,1,0,,,,
439,20,1,0,0,0,0,1,0,,,,
440,20,2,0,0,0,0,1,0,,,,
441,20,3,450,486,0,485,1,4.225716816,,,,
