"","xbin","max.vai","zbin","lidar.pulses","bin.hits","sky.hits","can.hits","mean.ht","sd.ht","max.ht","Freq","vai","sum.vai.by.xbin","vai_z","mean.leaf.ht.unadj","mean.leaf.ht.by.xbin","std.bin.pre","std.bin.num","std.bin","max.vai.z"
"1",1,3.29246080519762,3,437,1,111,326,11.3593343558282,0.958057192054219,13.137,1,0.035624088355859,6.06680456985489,0.106872265067577,71.5509647115219,11.7938469729269,2.75487290174659,8.86951887653055,1.46197537342837,12
"2",1,3.29246080519762,4,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"3",1,3.29246080519762,21,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"4",1,3.29246080519762,7,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"5",1,3.29246080519762,8,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"6",1,3.29246080519762,5,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"7",1,3.29246080519762,6,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"8",1,3.29246080519762,17,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"9",1,3.29246080519762,18,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"10",1,3.29246080519762,9,437,1,111,326,11.3593343558282,0.958057192054219,13.137,1,0.035624088355859,6.06680456985489,0.320616795202731,71.5509647115219,11.7938469729269,0.27806670394012,8.86951887653055,1.46197537342837,12
"11",1,3.29246080519762,16,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"12",1,3.29246080519762,0,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"13",1,3.29246080519762,1,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"14",1,3.29246080519762,10,437,25,111,326,11.3593343558282,0.958057192054219,13.137,1,0.74214841530244,6.06680456985489,7.4214841530244,71.5509647115219,11.7938469729269,2.38814970967763,8.86951887653055,1.46197537342837,12
"15",1,3.29246080519762,11,437,28,111,326,11.3593343558282,0.958057192054219,13.137,1,0.815199645286943,6.06680456985489,8.96719609815638,71.5509647115219,11.7938469729269,0.513733123452079,8.86951887653055,1.46197537342837,12
"16",1,3.29246080519762,12,437,233,111,326,11.3593343558282,0.958057192054219,13.137,1,3.29246080519762,6.06680456985489,39.5095296623715,71.5509647115219,11.7938469729269,0.139926524113727,8.86951887653055,1.46197537342837,12
"17",1,3.29246080519762,13,437,28,111,326,11.3593343558282,0.958057192054219,13.137,1,0.815199645286943,6.06680456985489,10.5975953887303,71.5509647115219,11.7938469729269,1.1859566216315,8.86951887653055,1.46197537342837,12
"18",1,3.29246080519762,14,437,10,111,326,11.3593343558282,0.958057192054219,13.137,1,0.330547882069218,6.06680456985489,4.62767034896905,71.5509647115219,11.7938469729269,1.6088132919689,8.86951887653055,1.46197537342837,12
"19",1,3.29246080519762,15,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"20",1,3.29246080519762,2,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"21",1,3.29246080519762,20,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"22",1,3.29246080519762,19,0,0,0,0,0,0,0,1,0,6.06680456985489,0,71.5509647115219,11.7938469729269,0,8.86951887653055,1.46197537342837,12
"23",2,2.64332958166732,10,437,37,36,401,7.92063341645885,4.56286104300586,15.569,1,1.01959032334426,8.54803332370789,10.1959032334426,78.5089296239219,9.18444356155914,0.678162461189949,163.137915419938,19.0848478523682,3
"24",2,2.64332958166732,0,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"25",2,2.64332958166732,1,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"26",2,2.64332958166732,13,437,31,36,401,7.92063341645885,4.56286104300586,15.569,1,0.885676392614993,8.54803332370789,11.5137931039949,78.5089296239219,9.18444356155914,12.8940940196368,163.137915419938,19.0848478523682,3
"27",2,2.64332958166732,14,437,21,36,401,7.92063341645885,4.56286104300586,15.569,1,0.640401309071465,8.54803332370789,8.96561832700051,78.5089296239219,9.18444356155914,14.8506398299051,163.137915419938,19.0848478523682,3
"28",2,2.64332958166732,15,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"29",2,2.64332958166732,16,437,9,36,401,7.92063341645885,4.56286104300586,15.569,1,0.299845720230904,8.54803332370789,4.79753152369446,78.5089296239219,9.18444356155914,13.9283762952179,163.137915419938,19.0848478523682,3
"30",2,2.64332958166732,17,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"31",2,2.64332958166732,18,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"32",2,2.64332958166732,19,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"33",2,2.64332958166732,2,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"34",2,2.64332958166732,20,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"35",2,2.64332958166732,21,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"36",2,2.64332958166732,3,437,153,36,401,7.92063341645885,4.56286104300586,15.569,1,2.64332958166732,8.54803332370789,7.92998874500195,78.5089296239219,9.18444356155914,101.100330967831,163.137915419938,19.0848478523682,3
"37",2,2.64332958166732,11,437,5,36,401,7.92063341645885,4.56286104300586,15.569,1,0.172095051813375,8.54803332370789,1.89304556994713,78.5089296239219,9.18444356155914,0.567267485242018,163.137915419938,19.0848478523682,3
"38",2,2.64332958166732,12,437,130,36,401,7.92063341645885,4.56286104300586,15.569,1,2.40973153871671,8.54803332370789,28.9167784646005,78.5089296239219,9.18444356155914,19.102804731173,163.137915419938,19.0848478523682,3
"39",2,2.64332958166732,6,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"40",2,2.64332958166732,7,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
"41",2,2.64332958166732,8,0,0,0,0,0,0,0,1,0,8.54803332370789,0,78.5089296239219,9.18444356155914,0,163.137915419938,19.0848478523682,3
