"","plot","mean.height_mean","mode.el_mean","height.2_mean","max.el_mean","mode.2_mean","max.can.ht_mean","mean.max.ht_mean","mean.vai_mean","max.vai_mean","deep.gaps_mean","porosity_mean","std.std_mean","mean.std_mean","rugosity_mean","top.rugosity_mean","plot_1_mean","mean.return.ht_mean","sd.return.ht_mean","sky.fraction_mean","cover.fraction_mean","max.ht_mean","rumple_mean","clumping.index_mean","mean.height_sd","mode.el_sd","height.2_sd","max.el_sd","mode.2_sd","max.can.ht_sd","mean.max.ht_sd","mean.vai_sd","max.vai_sd","deep.gaps_sd","porosity_sd","std.std_sd","mean.std_sd","rugosity_sd","top.rugosity_sd","plot_1_sd","mean.return.ht_sd","sd.return.ht_sd","sky.fraction_sd","cover.fraction_sd","max.ht_sd","rumple_sd","clumping.index_sd","Date.and.Time_mean","transect.1_mean","notes_mean","aPAR_mean","bPAR_mean","tau_mean","LAI_mean","Leaf.Distribuition...._mean","Beam.Fraction..Fb._mean","Zenith.Angle_mean","Latitude_mean","Longitude_mean","fPAR_mean","regime_mean","Date.and.Time_sd","transect.1_sd","notes_sd","aPAR_sd","bPAR_sd","tau_sd","LAI_sd","Leaf.Distribuition...._sd","Beam.Fraction..Fb._sd","Zenith.Angle_sd","Latitude_sd","Longitude_sd","fPAR_sd","regime_sd"
"1","ARNO01",15.38449535,13.7,7.668081841,26,8.479976415,32.551,23.898325,7.429313137,8.335078534,0,0.75,1401.587439,23.62041498,29.045885,8.893726488,NA,14.38975019,9.096946666,1.456188802,98.5438112,32.551,7.3,0.898673431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1063.2,54.2833333333333,0.0558333333333333,5.04833333333333,1,0.49,NA,NA,NA,0.949883432635872,NA,1.87082869338697,1.87082869338697,1.87082869338697,152.00815767583,25.2016203182785,0.0210467733077227,0.36449508455762,0,0.159874951133691,0.983192080250175,0,0,0.0200336756463535,0.547722557505166
"2","ARNO02",14.023828955,12.4875,6.761205357,29,7.6252899605,31.312,22.0477,7.442861754,8.0230621605,0,0.769698767,771.086676,17.973180125,20.957503255,7.283120943,NA,12.841500855,7.345683515,2.1305385865,97.869461415,31.312,6.4,0.940259608,1.29210984720985,1.53795724908074,2.22443233447798,5.65685424949238,2.44832208594429,2.43103311371935,1.59876843226278,0.0547363878126761,0.00307511193196537,0,0.0210152941470372,230.100638869528,2.29426708689986,3.52212965744838,1.10068329099317,2.82842712474619,0.508114806079356,1.16013144383009,0.779731945965517,0.779731943844197,2.43103311371935,1.44956890143242,0.0378432320435355,NA,NA,NA,619.68,53.84,0.1206,3.736,1,0.168,NA,NA,NA,0.828520003496265,NA,1.58113883008419,1.58113883008419,1.58113883008419,476.329294711127,28.7899808961382,0.100833030302575,1.62865895754759,0,0.358984679338826,0.836660026534076,0,0,0.23520475693272,0.447213595499958
"3","ARNO03",5.077847747,4.15,2.216946553,13,2.584085912,25.162,8.7816,7.681397147,8.169411765,0,0.772115385,118.1947873,4.985457551,9.661262875,5.700378574,NA,4.570564288,3.120733625,0.72611465,99.27388535,25.162,4.2,0.791588017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.483333333333,14.9666666666667,0.0836666666666667,3.945,1,0.29,NA,NA,NA,0.916809607155214,NA,1.87082869338697,1.87082869338697,1.87082869338697,641.831053834782,11.1343911673098,0.0741287168826405,1.6344509781575,0,0.42133122362341,1.37840487520902,0,0,0.0729459083111003,0.516397779494322
"4","ARNO04",4.688413139,4.5,2.027690541,18,3.619392214,21.51,8.9867,7.606980923,8.046376812,0,0.779347826,193.2324994,5.771577053,12.64600323,4.795149628,NA,3.714298495,2.348579655,1.196937031,98.80306297,21.51,5.175,0.725052524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926,34.36,0.0458,4.908,1,0.472,NA,NA,NA,0.960274192406334,NA,1.58113883008419,1.58113883008419,1.58113883008419,312.811053193457,6.48521395175209,0.0170205757834452,0.828565024605794,0,0.324992307601272,1.87082869338697,0,0,0.0113000435350502,0.547722557505166
"5","ARNO05",5.9839246195,5.325,3.5654610275,19,4.03327946,24.386,10.73496,7.472010895,8.249532001,0,0.7834455125,97.80785112,5.363269187,8.060303176,5.7614286705,NA,5.3247172955,3.982775765,1.5799822495,98.42001775,24.386,4.87,0.8440121475,0.239967977983844,0.106066017177982,1.06318460450695,0,0.450348298832095,1.26006428407443,0.0369675425204337,0.0779220514722574,0.184030219285465,0,0.0266751500648157,50.8680699110856,0.525230032975769,2.80598439555418,0.535221914948876,2.82842712474619,0.0737908515209595,0.854131047911227,0.294928521474583,0.29492852501011,1.26006428407443,0.664680374315354,0.0482781065155615,NA,NA,NA,541.7,30.5,0.096,3.84,1,0.23,NA,NA,NA,0.907988642205537,NA,0.707106781186548,1.4142135623731,0.707106781186548,668.215908221287,30.1227488785469,0.0509116882454314,1.9657568516986,0,0.29698484809835,0.707106781186548,0,0,0.0578931219065056,0.707106781186548
"6","ARNO06",4.382839999,3.35,1.843000569,11,2.197157254,28.29,11.749975,7.50826288,9,0,0.794827586,114.0840166,6.151896288,8.731448256,5.957202973,NA,3.839522484,3.040718734,1.075745112,98.92425489,28.29,7.325,0.705117317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707.4,11.0666666666667,0.05,5.17333333333333,1,0.123333333333333,NA,NA,NA,0.983511215621625,NA,1,1.52752523165195,1,188.695309957614,0.907377172587746,0.054744862772684,0.806866366465558,0,0.172143351115671,0,0,0,0.00506016935973244,0
"7","ARNO11",6.389062229,5.133333333,3.016121494,21,4.295216978,26.464,15.5256,7.875631317,8.150943396,0,0.759259259,498.7254817,14.68916474,16.82123423,7.889086821,NA,5.780738792,4.845087532,0.283345577,99.71665442,26.464,6.533333333,0.880163038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.675,5.8,0.01625,5.04,1,0.2675,NA,NA,NA,0.986186203776663,NA,1.29099444873581,1.29099444873581,1.29099444873581,204.134030724914,3.00998338865848,0.00670198975429437,0.466404688369804,0,0.245950537032686,1.4142135623731,0,0,0.00497229966595378,0
"8","ARNO12",9.576226448,7.745,6.2304523345,22.5,6.646590668,28.058,17.700665,7.6269919465,8.1085382735,0,0.771154762,844.943586,17.409715,22.88079161,8.142884943,NA,8.7097526045,7.2451606095,0.934242497,99.065757505,28.058,6.62,0.9409199315,0.275615161932078,0.431335136523794,0.150371768916679,0.707106781186548,0.63997264351028,1.57260548135888,0.729896832744189,0.107237426535152,0.107876505401348,0,0.00213815655601967,345.896035093282,3.11145901656905,5.19118415727878,0.268344400094136,2.82842712474619,0.292357693350223,0.0941698273466744,0.162580190232501,0.162580190232502,1.57260548135888,0.735391052434009,0.00958227764218324,NA,NA,NA,1044.4,26.16,0.0274,4.938,1,0.804,NA,NA,NA,0.973766231525614,NA,1.58113883008419,1.58113883008419,1.58113883008419,247.903822076224,9.48962591465017,0.0114367827643966,0.653888369677883,0,0.104307238483242,1.14017542509914,0,0,0.0113539323653996,0.547722557505166
"9","ARNO35",7.436786913,6.8,4.913542757,23,6.532993188,26.318,15.25886,7.544172179,8.051948052,0,0.767407407,792.0573396,15.76408831,23.31417722,7.860637052,NA,6.826618171,6.257593421,1.068023798,98.9319762,26.318,6.98,0.868009125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1165.7,38.1,0.0368,6.252,1,0.552,NA,NA,NA,0.963597716863525,NA,1.58113883008419,1.58113883008419,1.58113883008419,268.869512961213,19.4778078848725,0.0238579127335146,1.49907304691933,0,0.252329150119442,0.547722557505166,0,0,0.0234740868927393,0.547722557505166
"10","ARNO36",4.227295322,3.175,1.400833766,8,1.481342297,20.892,8.220975,7.690150387,8.048879837,0,0.760227273,105.1886512,3.596983022,9.604705321,4.486962575,NA,3.731477401,2.155608119,0.846182775,99.15381722,20.892,4,0.676055007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1210.95,15.575,0.0125,6.6225,1,0.685,NA,NA,NA,0.987043056989523,NA,1.29099444873581,1.29099444873581,1.29099444873581,476.037018868631,9.46022374647309,0.00506622805119022,0.941501460434342,0,0.351520506751266,1.5,0,0,0.00544689328245436,0.5
