1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3,0,0,21,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,2,179,98,99,93,9,63,36,6,3,47,31,0,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0
0,0,0,0,0,0,0,0,0,0,11,3,8,50,53,45,2,48,316,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,40,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0
0,0,0,0,0,0,5,3,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,8,57,0,0,0,32,1,64,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1
0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,4,23,6,0,9,1,10,13,6,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
0,0,0,0,3,40,16,6,0,0,0,0,0,0,11,0,30,0,0,0,0,0,43,0,0,0,0,1,0,2,0,8,0,0,0,0,3,0,0,0,1,5,96,2,0,0,0,0,0,1
0,0,0,0,32,25,0,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0,28,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,2,0,41,11,6,0,0,0,0,0
0,0,0,0,0,0,0,31,17,0,0,0,0,0,0,0,4,0,0,0,0,0,33,113,31,0,0,0,0,0,0,3,17,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,30,137,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,18,44,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,85,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,40,6,0,0,2,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,27,9,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
0,0,0,0,6,66,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,5,0,0,0,8,48,0,20,13,0,0,0,0,0,0
0,0,0,0,0,18,9,17,48,108,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,31,0,67,6,0,0,0,0,1,41,0,82,84,27,77,0,0,0,0
0,0,0,0,0,7,5,1,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,4,97,78,38,3,0,0,0,76,12,4,95,51,72,29,0,31,0
114,114,0,0,0,0,0,0,0,12,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,9,3,15,23,15,105,0,0,0,0,0,0,5,14,105,72,5,3
0,15,1,0,0,0,0,0,0,25,1,0,0,0,0,6,22,27,0,0,0,0,0,30,35,173,67,0,0,39,9,8,0,0,22,34,5,6,0,0,0,0,0,0,2,42,52,9,17,19
0,33,0,57,12,0,0,0,0,22,25,50,0,0,0,172,89,58,0,0,0,0,0,0,75,0,0,0,0,98,187,19,0,0,2,33,0,6,17,0,0,0,0,0,0,15,1,0,0,1
0,0,0,56,120,0,0,0,0,29,146,70,40,1,3,0,1,0,0,0,32,3,0,0,0,0,39,0,8,10,20,4,0,0,17,32,65,0,54,2,0,0,0,0,1,0,0,0,0,14
0,61,230,100,55,0,0,0,0,0,62,133,208,82,47,0,0,13,0,0,32,51,0,0,0,0,3,31,43,3,0,0,0,4,22,10,111,0,182,172,0,0,0,10,45,0,0,0,0,0
0,1,9,28,0,0,179,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,120,100,0,0,0,0,3,58,31,46,0,0,90,0,0,0,2,56,7,0,0,44,178
0,0,0,0,0,0,0,0,0,0,0,0,0,120,6,0,0,0,0,0,167,0,0,0,0,0,0,0,90,46,0,0,0,31,27,0,0,0,0,5,0,74,0,0,0,0,0,147,82,0
47,13,0,0,8,66,1,46,174,48,0,0,0,3,136,33,123,168,0,0,5,7,37,0,0,0,0,0,0,0,0,30,224,0,4,62,0,0,0,0,0,82,1,0,31,0,0,0,43,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
