"","plotID","n_distinct(taxonID)"
"1","BART_034",5
"2","DELA_037",6
"3","DELA_038",13
"4","DELA_039",4
"5","DELA_040",6
"6","DELA_041",3
"7","DELA_042",3
"8","DELA_043",6
"9","DELA_044",7
"10","DELA_045",5
"11","DELA_046",3
"12","DELA_047",7
"13","DELA_048",4
"14","DELA_049",6
"15","DELA_050",9
"16","DELA_051",6
"17","DELA_052",14
"18","DELA_053",3
"19","DELA_054",5
"20","DELA_055",2
"21","DELA_056",4
"22","GRSM_047",11
"23","GRSM_048",19
"24","GRSM_049",13
"25","GRSM_050",10
"26","GRSM_051",14
"27","GRSM_052",18
"28","GRSM_053",9
"29","GRSM_054",8
"30","GRSM_055",14
"31","GRSM_056",16
"32","GRSM_057",13
"33","GRSM_058",10
"34","GRSM_059",14
"35","GRSM_060",14
"36","GRSM_061",13
"37","GRSM_062",16
"38","GRSM_063",14
"39","GRSM_064",10
"40","GRSM_065",15
"41","GRSM_066",16
"42","HARV_033",3
"43","HARV_034",6
"44","HARV_036",2
"45","HARV_037",1
"46","HARV_038",1
"47","HARV_039",4
"48","HARV_040",3
"49","HARV_041",4
"50","HARV_042",2
"51","HARV_043",1
"52","HARV_044",9
"53","HARV_045",2
"54","HARV_046",4
"55","HARV_047",3
"56","HARV_048",4
"57","HARV_049",3
"58","HARV_050",5
"59","HARV_051",3
"60","HARV_052",4
"61","LENO_061",3
"62","LENO_062",6
"63","LENO_063",2
"64","LENO_064",8
"65","LENO_065",3
"66","LENO_066",6
"67","LENO_067",3
"68","LENO_068",4
"69","LENO_069",4
"70","LENO_070",7
"71","ORNL_036",1
"72","ORNL_037",1
"73","ORNL_043",1
"74","ORNL_045",1
"75","ORNL_046",1
"76","ORNL_049",1
"77","ORNL_050",1
"78","ORNL_051",1
"79","ORNL_052",1
"80","ORNL_053",1
"81","ORNL_054",1
"82","ORNL_055",1
"83","ORNL_056",1
"84","ORNL_057",1
"85","ORNL_058",1
"86","ORNL_059",1
"87","ORNL_060",1
"88","ORNL_061",1
"89","ORNL_062",1
"90","ORNL_063",1
"91","OSBS_025",2
"92","OSBS_026",4
"93","OSBS_027",4
"94","OSBS_028",2
"95","OSBS_029",2
"96","OSBS_030",2
"97","OSBS_031",2
"98","OSBS_032",2
"99","OSBS_033",2
"100","OSBS_034",2
"101","OSBS_035",2
"102","OSBS_037",2
"103","OSBS_038",2
"104","OSBS_043",2
"105","OSBS_044",3
"106","SCBI_045",10
"107","SCBI_046",15
"108","SCBI_047",10
"109","SCBI_048",10
"110","SCBI_049",15
"111","SCBI_050",12
"112","SCBI_051",13
"113","SCBI_052",9
"114","SCBI_053",11
"115","SCBI_054",11
"116","SCBI_055",16
"117","SCBI_056",10
"118","SCBI_057",9
"119","SCBI_058",11
"120","SCBI_061",10
"121","SCBI_062",10
"122","SCBI_063",6
"123","SCBI_064",11
"124","SCBI_066",15
"125","SCBI_067",14
"126","SERC_043",8
"127","SERC_044",7
"128","SERC_045",11
"129","SERC_047",11
"130","SERC_048",9
"131","SERC_049",9
"132","SERC_050",12
"133","SERC_051",16
"134","SERC_052",6
"135","SERC_053",8
"136","SERC_054",9
"137","SERC_055",12
"138","SERC_056",12
"139","SERC_057",10
"140","SERC_058",7
"141","SERC_059",9
"142","SERC_060",7
"143","SERC_061",12
"144","SERC_062",15
"145","TALL_042",9
"146","TALL_043",1
"147","TALL_044",1
"148","TALL_045",5
"149","TALL_046",8
"150","TALL_048",1
"151","TALL_049",2
"152","TALL_050",1
"153","TALL_051",4
"154","TALL_053",2
"155","TALL_054",2
"156","TALL_057",3
"157","TALL_058",1
"158","TALL_059",1
"159","TALL_060",4
"160","TALL_061",1
