"","X","plot","mean.height_mean","mode.el_mean","height.2_mean","max.el_mean","mode.2_mean","max.can.ht_mean","mean.max.ht_mean","mean.vai_mean","max.vai_mean","deep.gaps_mean","porosity_mean","std.std_mean","mean.std_mean","rugosity_mean","top.rugosity_mean","mean.return.ht_mean","sd.return.ht_mean","sky.fraction_mean","cover.fraction_mean","max.ht_mean","rumple_mean","clumping.index_mean","mean.height_sd","mode.el_sd","height.2_sd","max.el_sd","mode.2_sd","max.can.ht_sd","mean.max.ht_sd","mean.vai_sd","max.vai_sd","deep.gaps_sd","porosity_sd","std.std_sd","mean.std_sd","rugosity_sd","top.rugosity_sd","mean.return.ht_sd","sd.return.ht_sd","sky.fraction_sd","cover.fraction_sd","max.ht_sd","rumple_sd","clumping.index_sd","aPAR_mean","bPAR_mean","LAI_mean","fPAR_mean","aPAR_sd","bPAR_sd","LAI_sd","fPAR_sd","regime"
"1",1,"ARNO_001",12.9562919878,11.443,6.083868784,24.4,6.6426827202,32.8776,21.214463,7.7411429376,8.1123335856,0,0.7902336788,927.3273139,16.35596548,24.576886918,7.9152891512,12.1779982026,7.333078813,0.6427360514,99.35726395,32.8776,6.656,0.9142394562,4.07798435466541,4.28765611960661,0.966590862893943,3.78153408023781,1.29919267184723,1.33779699506315,3.67453291422461,0.202586789513036,0.128279559654653,0,0.0310032269505471,425.509804612056,4.62677123580862,6.95168386732925,1.41130616487276,3.95099514068502,1.17475326669682,0.578343229953548,0.57834322904177,1.33779699506315,1.15390315884826,0.0442046218969501,1063.2,54.2833333333333,5.04833333333333,0.949883432635872,152.00815767583,25.2016203182785,0.36449508455762,0.0200336756463535,"high"
"7",7,"ARNO_012",9.92137632333333,8.74916666666667,5.98604396916667,22.1666666666667,6.535959551,28.5196666666667,16.8144783333333,7.52719306216667,8.1458615525,0,0.781252953,505.190423866667,12.9280301598333,17.498709265,8.194388923,9.137922516,6.83337005116667,1.36177239083333,98.6382276083333,28.5196666666667,6.42666666666667,0.9236063995,2.59747405661029,2.54431212052819,1.41107503671235,2.85773803324704,1.05804267362785,1.15174904674007,2.35336049114594,0.188982308318817,0.147936141875267,0,0.0130387172905332,305.807048174717,3.86002681231689,4.82930161362735,0.766574215106273,2.45706886780398,1.16747996970635,0.585904518154229,0.585904518607128,1.15174904674007,1.76175953712948,0.0605381299425395,1044.4,26.16,4.938,0.973766231525614,247.903822076224,9.48962591465017,0.653888369677883,0.0113539323653996,"high"
"8",8,"ARNO_035",7.248179727,6.319,5.039402404,21.8,5.6317724922,27.9522,13.852053,7.740795235,9.6700308692,0,0.7971993196,759.98405723,13.562995808,21.4747187194,8.131821406,6.7907097668,6.1517305172,0.6683948414,99.33160516,27.9522,6.661,0.8414201488,2.12641516524248,2.15023370822801,2.23825354665605,8.52642949891688,2.52130263834875,2.17043640773002,3.89812572664992,0.302752503882072,3.2419118726248,0,0.033632330110177,551.134047537252,7.5316742908156,9.319654220304,1.90676534316696,2.15933969342799,2.35488480005182,0.619566676107677,0.619566675864831,2.17043640773002,1.44007117879638,0.0899259331431261,1165.7,38.1,6.252,0.963597716863525,268.869512961213,19.4778078848725,1.49907304691933,0.0234740868927393,"high"
"9",9,"ARNO_036",5.16786960833333,4.3125,1.940861447,12.1666666666667,2.19419364233333,19.3701666666667,9.149575,7.88851384116667,8.35467346683333,0,0.710750360833333,50.7052647666667,3.53878911083333,5.48963635,4.11531387816667,4.6229539895,2.675934962,0.259611600333333,99.7403884,19.3701666666667,3.8875,0.739669582166667,0.770462822010669,0.95403747305858,0.810516961984421,4.62240918425302,0.985008685972309,3.08947033756058,1.21706902587733,0.113927413743606,0.42737016510711,0,0.0577980612046785,38.8874950433273,1.01699733843681,2.93616610137075,1.36706520405154,0.739541464374994,0.727461325939562,0.303935046786165,0.303935048792096,3.08947033756058,0.909498488179062,0.0830754518678095,1210.95,15.575,6.6225,0.987043056989523,476.037018868631,9.46022374647309,0.941501460434342,0.00544689328245436,"high"
"10",10,"GRSM_050",8.8539485095,7.79166666675,4.71200271775,23.25,5.51196189825,29.7285,17.33154375,6.62927520025,8.021023092,0,0.73774501575,786.951278935,14.863501134,20.416503242,7.38560329725,7.55928294975,5.25469743425,8.997882731,91.00211727,29.7285,5.1875,0.90734701075,1.68295165132016,2.36073199562598,1.72454161901177,8.22090830342568,2.65290153564419,4.83221802074368,2.3165352589567,1.11694319348686,0.0173246960520092,0,0.0704633957685678,766.331336368345,6.54798622765705,12.4919662499727,2.19410231602238,0.873388852515113,1.56248588444138,10.1901819705305,10.1901819705809,4.83221802074368,1.19207452227898,0.0481203401998036,1712.06666666667,38,6.71333333333333,0.977587428865532,183.083978909497,3.35111921602321,0.446131520219468,0.00346541790951459,"high"
"11",11,"GRSM_053",10.5887276253333,8.26666666666667,7.929187458,34.6666666666667,8.90389055966667,39.5466666666667,21.9365166666667,7.384607216,8.79195596666667,0,0.793233364,4676.79162433333,38.4185119333333,53.54570387,13.1492504233333,9.74950200133333,9.74353126833333,1.77253584266667,98.2274641566667,39.5466666666667,10.4166666666667,0.934952231,2.50875216361896,2.4214320831552,2.60467162638509,4.93288286231625,3.06367415975622,1.77837744400151,4.02703542217576,0.479681956415414,0.64570066680325,0,0.0197062191657806,3231.95733170056,12.1409937467403,18.790875818415,1.44102141052215,2.33661388234094,2.73321652497498,1.57001967643422,1.57001967774358,1.77837744400151,0.553022000767902,0.0210635504781512,1946.53333333333,46.1,5.58333333333333,0.976206340543885,78.0133535577938,13.0011537949522,4.84689935250706,0.00704184786748631,"high"
"12",12,"GRSM_055",9.74258627233333,8,6.17374414133333,32.3333333333333,7.34213230233333,36.683,21.518125,7.35786227933333,8.800128207,0,0.771161343333333,2126.64557366667,28.6607065533333,35.35138813,10.1612270363333,8.25698075366667,7.085637368,2.14783529233333,97.85216471,36.683,8.95833333333333,0.935011646,1.24241574045751,1.48134229670255,0.455844638883305,3.51188458428425,1.26303796034697,1.6100959598732,3.34569317565508,0.490061715991032,1.30798921724337,0,0.0533553677034261,285.964108578591,5.96441633469402,6.90354864277276,0.903152622562918,1.60854244855089,1.15319915151536,1.70572054514049,1.70572054794475,1.6100959598732,1.1408147673191,0.0123708307878481,1990.9,71.3666666666667,8.76,0.96410155311883,17.545369759569,40.8677541997763,0.400374824383351,0.0205648643668238,"high"
"13",13,"GRSM_057",11.4999643003333,9.525,6.65769666166667,32.6666666666667,8.17415141033333,36.953,23.6248666666667,7.04205568366667,8.024735499,0,0.744549289,2430.483574,32.5124881166667,36.7303952933333,10.0033979756667,10.1524304923333,8.108579716,5.24002142133333,94.75997858,36.953,8.175,0.938190776333333,3.22938148029811,3.31257075396134,0.858719908433768,0.577350269189626,1.5734708704143,3.49449152238205,3.88922930044737,0.69765584144282,0.0108062510100081,0,0.0535996718737279,412.92874124544,5.1574877578884,3.1384627593142,2.44681392944407,2.91082794870862,0.918728266203604,6.38313776825965,6.38313776949816,3.49449152238205,4.05485819727398,0.0381258394562784,1773.83333333333,82.0666666666667,8.29666666666667,0.954204256466849,49.6786003560219,96.3232751381167,1.05396078358416,0.0533711549405799,"high"
"14",14,"GRSM_061",11.181389367,9.27,4.94194123633333,24.6666666666667,6.05601852,31.487,21.566665,6.70750800533333,8.201795807,0,0.676879566,898.5846641,20.4155075,20.2683266333333,6.34715528533333,10.124999824,6.562431295,7.95065160666667,92.0493483933333,31.487,5.75666666666667,0.913243440666667,1.12994539560282,1.11296900226376,0.874813655586802,1.15470053837925,0.802439733863108,3.74363713519353,0.815573389049078,1.08726951034176,0.32834247861974,0,0.0488493574520993,552.667728985804,5.378328350818,8.80645012221028,0.527370258803633,1.20398923109367,0.978524712809657,9.64331572198224,9.64331572259897,3.74363713519353,0.898614674559309,0.0645771880948505,1601.43333333333,57.9666666666667,5.34,0.964020180045891,73.7592254116957,33.814543222308,0.44440972086578,0.0202079898861718,"high"
"15",15,"GRSM_064",7.36060084566667,5.94166666666667,4.60573487366667,21,5.19577431433333,33.6733333333333,18.559775,7.66839549866667,10.4999423,0,0.742871148333333,1343.16578816667,21.0695334366667,29.3161666033333,9.86519307733333,6.56484087366667,6.29656284633333,1.06238637266667,98.9376136266667,33.6733333333333,10.0166666666667,0.873318856333333,1.03122381204235,1.43795282722812,1.01167143899064,6.08276253029822,1.87632124284602,0.364214680282568,1.32561697970228,0.262846604820337,4.23487012600447,0,0.00825941120577565,518.791539888746,2.38309221631576,7.35018766454323,1.07889939177415,1.00398350218943,0.4890999478232,0.813096431025575,0.813096431109297,0.364214680282568,2.26802961473904,0.0326248350452608,1586.86666666667,23.4,8.32666666666667,0.985150868248716,110.806558169331,6.39061812346818,0.682959247198055,0.00456335208070532,"high"
