"","ID","plot","mean.height","transect.length","mode.el","height.2","max.el","mode.2","max.can.ht","mean.max.ht","mean.vai","max.vai","deep.gaps","porosity","std.std","mean.std","rugosity","top.rugosity","rumple","clumping.index"
"1","ACSA1","ACSA1.csv",12.5500893020112,50,15.06,6.94819662909852,28,10.0427287128549,28,17.58,7.238,8.1,0,0.803448275862069,4696.82185815937,50.5526678877003,46.2736385817589,9.86457276917593,8.96,0.883081230256527
"2","ACSA10","ACSA10.csv",15.9308549580648,50,13.58,7.17308929410893,27,7.38671780969058,28,18.94,7.442,8.2,0,0.782666666666667,1017.82300798242,21.0497084709386,23.9735850733868,7.90868806685252,5.6,0.95586140647965
"3","ACSA11","ACSA11.csv",18.2339241375409,50,16.72,5.86047019666689,26,5.95664335007562,29,21.14,7.776,8.1,0,0.789333333333333,960.111215839183,20.0143592925326,23.654526796125,6.0068328440474,4.76,0.917467922057944
"4","ACSA12","ACSA12.csv",16.2031191595744,50,18.02,5.47139212937215,28,7.91325470334426,28,20.52,7.116,8.1,0,0.815333333333333,1840.15418368888,34.0246548359134,26.1242616543671,5.78964593045205,5.18,0.929661917920572
"5","ACSA13","ACSA13.csv",11.6367439073574,50,11.468085106383,5.65923009513182,27,7.06459877895769,27,14.1489361702128,6.06595744680851,8.1,0,0.833793103448276,874.482158554183,19.8662747541584,21.9046407399545,7.36908561198109,6.4,0.948242226979355
"6","ACSA14","ACSA14.csv",15.2548848601129,50,14.5957446808511,6.79967039316852,28,7.1060644596728,28,18.3829787234043,5.98936170212766,8.1,0,0.81448275862069,815.364072446975,21.7379679738113,18.5155291800297,7.59448653411992,6.2,0.965047207102333
"7","ACSA15","ACSA15.csv",19.7892450610229,50,21.12,4.85947531949116,28,6.04860314452849,30,23.66,7.666,8.2,0,0.74,1046.86252107923,24.3290351521709,21.329804725868,4.87228731433907,4.44,0.902212324238682
"8","ACSA16","ACSA16.csv",19.6090662206688,50,18.18,5.9806256661028,29,8.62250543635665,29,22.76,7.738,8.2,0,0.751724137931034,826.391959688963,19.2681620655608,21.3337734661322,6.39374694525831,4.82,0.953197604029815
"9","ACSA2","ACSA2.csv",13.5144091258304,50,13.24,6.75433256284381,29,8.83302892557247,29,17.62,7.64,8.1,0,0.78,1579.12111777724,27.0830031202985,29.0797534336717,7.95110055275369,7.28,0.963824045049829
"10","ACSA3","ACSA3.csv",12.7950546663137,50,12.4,5.57199848497166,28,5.30282943342514,28,15.88,6.956,8.1,0,0.820689655172414,975.339199780034,16.7316892805662,26.3702440944072,6.42901585765342,5.62,0.891436207535096
"11","ACSA4","ACSA4.csv",15.1762876349568,50,13.06,6.9228463143245,29,9.00757459031009,29,18.44,5.228,8.1,0,0.824137931034483,1615.46069411949,27.1050971958703,29.6778435894846,7.88219383115112,6.8,0.923518511574847
"12","ACSA5","ACSA5.csv",11.1690100963038,50,10.66,5.63207804680001,26,5.60217814782786,30,14.48,7.542,8.1,0,0.8,1190.12773023548,18.7363609704713,28.9668173574468,7.66715762994664,6.64,0.900703218686362
"13","ACSA6","ACSA6.csv",19.0202221655659,50,17.18,6.38416466329488,26,7.05036169284952,29,22.52,7.26,8.1,0,0.758666666666667,1296.27492231803,23.0496382588658,27.6584362980531,6.42139281731664,6.24,0.92040484956321
"14","ACSA7","ACSA7.csv",22.0761548030286,50,23.76,4.22439138256293,28,5.34250877397501,28,24.94,6.292,8.1,0,0.752666666666667,889.767063776099,18.3192499281121,23.5408611959602,2.22609752798067,2.62,0.710584891301416
