"","ID","plot","mean.height","transect.length","mode.el","height.2","max.el","mode.2","max.can.ht","mean.max.ht","mean.vai","max.vai","deep.gaps","porosity","std.std","mean.std","rugosity","top.rugosity","rumple","clumping.index"
"15","ACSA8","ACSA8.csv",15.8013789231955,50,15.38,7.05386824577024,27,8.55544271209854,29,19.38,6.908,8.2,0,0.788,818.579314420237,22.1656765669189,18.0903868601801,7.34816373008125,6.08,0.928484621087508
"16","ACSA9","ACSA9.csv",12.8886848054206,50,9.18367346938776,6.87557434286019,25,5.92357265813756,30,15.1224489795918,6.03877551020408,8.1,0,0.832,414.237161820887,12.7835561432422,15.8372300025434,7.8465296284972,7.1,0.953029852624475
"17","TSCA1","TSCA1.csv",14.4657036044148,50,15.2,7.28125506235748,27,8.7246776444749,28,16.96,7.302,8.1,0,0.775,772.638682614731,17.6554665189508,21.4691216544352,8.01773544291984,4.94,0.943187956769402
"18","TSCA10","TSCA10.csv",7.96262490640015,50,7.78,4.09639422344698,28,5.62241940804846,29,10.04,7.79,8.1,0,0.833793103448276,1003.54853883618,13.013259608047,28.882583215664,7.12271445619504,6.24,0.79054330865463
"19","TSCA11","TSCA11.csv",11.4413823341263,50,10.34,3.90456484428071,27,4.32485837918423,27,13.62,7.356,8.1,0,0.801379310344828,710.182442215489,12.4927392297187,23.5396242271141,5.99962583867374,4.1,0.758511566708623
"20","TSCA12","TSCA12.csv",18.2960002014043,50,15.52,7.02578762226924,29,7.65046403821363,29,21.52,6.532,8.1,0,0.74551724137931,1071.82786880389,21.8647545420168,24.3671988053869,7.5572373745102,5.26,0.901616244806696
"21","TSCA13","TSCA13.csv",8.89590907020533,50,9.34,3.50642363302842,23,5.73623569948098,23,10.7,8.006,8.2,0,0.811333333333333,249.732482497977,8.31452785958679,13.4387912019695,5.08800109100232,4.56,0.762818582954533
"22","TSCA14","TSCA14.csv",9.47437588477954,50,8.62,2.58994047671497,13,2.04831638181215,26,11.58,7.49,8.2,0,0.802666666666667,131.96612749247,6.60226580144112,9.40086239552475,4.30988422591795,4.18,0.71752800301657
"23","TSCA15","TSCA15.csv",12.3821015934216,50,13.32,4.20199793384733,27,5.43485050392373,27,15.68,7.368,8.2,0,0.760666666666667,620.405486783082,15.8813281044003,19.1882491234471,6.55102422277211,6.08,0.816032792598505
"24","TSCA16","TSCA16.csv",13.7988666834452,50,15.54,6.42151378450347,31,8.49519864394,31,17.7,7.466,8.1,0,0.778064516129032,2399.57182217413,34.0877567303604,35.1794920836828,8.65966488487674,7.08,0.866955747879846
"25","TSCA2","TSCA2.csv",10.9337381466974,50,11.34,4.41054464491244,27,5.22536123153223,27,13.1,7.794,8.1,0,0.777857142857143,184.756195408698,8.19675800337001,10.8429402674223,5.64692439315782,5.24,0.827525316284369
"26","TSCA3","TSCA3.csv",10.5248484780841,50,11.34,4.61481508827292,28,5.86040954200302,28,12.48,7.398,8.1,0,0.797142857142857,300.964242995049,9.02236136551481,14.8175989412966,5.34995708546588,4.6,0.868322560468186
"27","TSCA4","TSCA4.csv",9.08645790225204,50,10.02,2.02503974299633,14,2.66450745917515,25,10.6,7.88,8.1,0,0.795714285714286,82.0247701578359,4.58792012163166,7.80869765808379,3.12331587272506,3.24,0.738032880634783
"28","TSCA5","TSCA5.csv",8.97002826105106,50,7.38,3.26140021983839,24,3.13617601546852,25,11.42,7.98,8.1,0,0.800714285714286,361.855648564416,9.92170159743598,16.2300796663434,5.34556844880096,5.3,0.72093991839537
"29","TSCA6","TSCA6.csv",13.131725182261,50,11.06,7.03729807333325,25,7.08635308180449,28,15.26,7.67,8.1,0,0.834285714285714,708.559327302222,13.9616160611531,22.6634640834797,8.19609165196113,6.26,0.915707957940125
"30","TSCA7","TSCA7.csv",9.88548784712563,50,9.22,3.36945794631354,25,3.66218514004958,27,12.02,7.696,8.2,0,0.778571428571429,401.626019004435,10.1057229642907,17.3060793472537,5.12094538465829,4.82,0.681635791288084
"31","TSCA8","TSCA8.csv",8.20467629691404,50,8.16,1.70684530133111,12,1.57936696179197,23,9.26,7.818,8.2,0,0.786428571428571,54.3802475647363,3.39160689947613,6.54807225098824,2.54598523489955,2.74,0.623004237796541
"32","TSCA9","TSCA9.csv",10.5843900434619,50,8.88,5.46407308010422,26,5.17934358775318,28,12.9,7.878,8.1,0,0.797931034482759,325.2184041135,10.3662548265788,14.7566651037398,6.99051835980534,4.56,0.852044459428719
