Site_Plot,file_name,Site,Plot,Transect,mean.height,transect.length,mode.el,height.2,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,max.vai,deep.gaps,porosity,std.std,mean.std,rugosity,top.rugosity
MLBS_060,MLBS_60C.CSV,MLBS,60,C,10.91551969,50,10.16,2.772502074,16,3.754250924,16.924,14.24376,5.986867313,8.291970803,0,0.666666667,70.70172633,6.135059658,5.75002342,1.990336148
MLBS_060,MLBS_60E.CSV,MLBS,60,E,8.736449532,40,8.1,3.524259618,16,4.45421149,16.446,13.18405,7.050571278,8.114942529,0,0.622058824,115.6177198,7.440973173,7.76206403,3.013719271
MLBS_060,MLBS_60W.CSV,MLBS,60,W,8.539189775,40,7.575,3.304112043,15,4.230174346,16.797,12.5238,6.940961323,8.134228188,0,0.659722222,49.10985263,5.367842542,4.505121427,2.691436802
MLBS_062,MLBS_62C.CSV,MLBS,62,C,5.469419016,40,4.275,2.518454287,12,2.559174672,19.11,9.460825,7.964305189,8.326975477,0,0.67625,41.22525467,3.596359869,5.318970799,4.737555341
MLBS_062,MLBS_62W.CSV,MLBS,62,W,7.829863075,40,6.325,3.894893735,17,5.410117836,21.5,15.790125,6.823683908,8.351097179,0,0.681521739,541.6821139,17.96373215,14.79819046,4.470199188
MLBS_064,MLBS_64C.CSV,MLBS,64,C,7.739416817,40,6.35,2.486572307,14,2.743628984,16.614,12.960675,7.178275182,9.574603175,0,0.634722222,85.18515431,6.096363963,6.929610432,3.1651335
MLBS_064,MLBS_64E.CSV,MLBS,64,E,8.115971479,40,7.05,3.742002425,18,4.679476466,18.435,13.801575,6.983411832,8.067226891,0,0.621052632,115.6669559,8.051994232,7.129680553,3.743157908
MLBS_064,MLBS_64W.CSV,MLBS,64,W,8.139224427,40,6.5,3.627007047,18,4.153311931,18.845,14.2633,7.028893307,8.16969697,0,0.65125,170.8333866,9.278576789,9.205509187,3.907139889
MLBS_065,MLBS_65C.CSV,MLBS,65,C,13.27911955,40,12.05,3.165199696,21,5.195911855,21.75,20.062425,7.080346147,8.581818182,0,0.623913043,527.1684071,17.91159275,14.36465287,1.05716277
MLBS_065,MLBS_65E.CSV,MLBS,65,E,10.34121521,40,9.725,3.5060717,18,4.883582189,19.935,16.3392,7.203197395,8.130718954,0,0.610714286,120.4002441,8.256845395,7.226669233,2.935187892
