"","xbin","zbin","lidar.pulses","bin.hits","sky.hits","can.hits","Freq"
"1",1,0,268,0,0,268,1
"2",1,1,268,135,0,268,1
"3",1,10,268,0,0,268,1
"4",1,11,268,0,0,268,1
"5",1,12,268,0,0,268,1
"6",1,13,268,0,0,268,1
"7",1,14,268,0,0,268,1
"8",1,15,268,0,0,268,1
"9",1,16,268,0,0,268,1
"10",1,17,268,0,0,268,1
"11",1,18,268,0,0,268,1
"12",1,19,268,0,0,268,1
"13",1,2,268,88,0,268,1
"14",1,20,268,0,0,268,1
"15",1,21,268,2,0,268,1
"16",1,22,268,4,0,268,1
"17",1,23,268,2,0,268,1
"18",1,24,268,1,0,268,1
"19",1,25,268,21,0,268,1
"20",1,26,268,0,0,268,1
"21",1,27,268,0,0,268,1
"22",1,28,268,0,0,268,1
"23",1,29,268,0,0,268,1
"24",1,3,268,0,0,268,1
"25",1,30,268,0,0,268,1
"26",1,31,268,0,0,268,1
"27",1,32,268,0,0,268,1
"28",1,4,268,0,0,268,1
"29",1,5,268,15,0,268,1
"30",1,6,268,0,0,268,1
"31",1,7,268,0,0,268,1
"32",1,8,268,0,0,268,1
"33",1,9,268,0,0,268,1
"34",10,0,268,0,0,266,1
"35",10,1,268,0,0,266,1
"36",10,10,268,0,0,266,1
"37",10,11,268,0,0,266,1
"38",10,12,268,0,0,266,1
"39",10,13,268,0,0,266,1
"40",10,14,268,0,0,266,1
"41",10,15,268,0,0,266,1
"42",10,16,268,0,0,266,1
"43",10,17,268,0,0,266,1
"44",10,18,268,0,0,266,1
"45",10,19,268,0,0,266,1
"46",10,2,268,92,1,266,1
"47",10,20,268,0,0,266,1
"48",10,21,268,0,0,266,1
"49",10,22,268,0,0,266,1
"50",10,23,268,0,0,266,1
"51",10,24,268,0,0,266,1
"52",10,25,268,0,0,266,1
"53",10,26,268,0,0,266,1
"54",10,27,268,0,0,266,1
"55",10,28,268,0,0,266,1
"56",10,29,268,0,0,266,1
"57",10,3,268,154,1,266,1
"58",10,30,268,0,0,266,1
"59",10,31,268,0,0,266,1
"60",10,32,268,0,0,266,1
"61",10,4,268,5,1,266,1
"62",10,5,268,15,1,266,1
"63",10,6,268,0,0,266,1
"64",10,7,268,0,0,266,1
"65",10,8,268,0,0,266,1
"66",10,9,268,0,0,266,1
"67",11,0,392,0,0,391,1
"68",11,1,392,0,0,391,1
"69",11,10,392,0,0,391,1
"70",11,11,392,1,1,391,1
"71",11,12,392,0,0,391,1
"72",11,13,392,0,0,391,1
"73",11,14,392,0,0,391,1
"74",11,15,392,0,0,391,1
"75",11,16,392,0,0,391,1
"76",11,17,392,0,0,391,1
"77",11,18,392,0,0,391,1
"78",11,19,392,0,0,391,1
"79",11,2,392,0,0,391,1
"80",11,20,392,0,0,391,1
"81",11,21,392,0,0,391,1
"82",11,22,392,0,0,391,1
"83",11,23,392,0,0,391,1
"84",11,24,392,0,0,391,1
"85",11,25,392,0,0,391,1
"86",11,26,392,0,0,391,1
"87",11,27,392,0,0,391,1
"88",11,28,392,0,0,391,1
"89",11,29,392,0,0,391,1
"90",11,3,392,100,1,391,1
"91",11,30,392,0,0,391,1
"92",11,31,392,0,0,391,1
"93",11,32,392,0,0,391,1
"94",11,4,392,216,1,391,1
"95",11,5,392,0,0,391,1
"96",11,6,392,0,0,391,1
"97",11,7,392,0,0,391,1
"98",11,8,392,26,1,391,1
"99",11,9,392,48,1,391,1
"100",12,0,391,0,0,391,1
"101",12,1,391,0,0,391,1
"102",12,10,391,0,0,391,1
"103",12,11,391,0,0,391,1
"104",12,12,391,0,0,391,1
"105",12,13,391,0,0,391,1
"106",12,14,391,0,0,391,1
"107",12,15,391,0,0,391,1
"108",12,16,391,0,0,391,1
"109",12,17,391,0,0,391,1
"110",12,18,391,0,0,391,1
"111",12,19,391,0,0,391,1
"112",12,2,391,0,0,391,1
"113",12,20,391,0,0,391,1
"114",12,21,391,0,0,391,1
"115",12,22,391,0,0,391,1
"116",12,23,391,0,0,391,1
"117",12,24,391,0,0,391,1
"118",12,25,391,0,0,391,1
"119",12,26,391,0,0,391,1
"120",12,27,391,0,0,391,1
"121",12,28,391,0,0,391,1
"122",12,29,391,0,0,391,1
"123",12,3,391,351,0,391,1
"124",12,30,391,0,0,391,1
"125",12,31,391,0,0,391,1
"126",12,32,391,0,0,391,1
"127",12,4,391,1,0,391,1
"128",12,5,391,0,0,391,1
"129",12,6,391,0,0,391,1
"130",12,7,391,0,0,391,1
"131",12,8,391,30,0,391,1
"132",12,9,391,9,0,391,1
"133",13,0,391,0,0,391,1
"134",13,1,391,0,0,391,1
"135",13,10,391,7,0,391,1
"136",13,11,391,0,0,391,1
"137",13,12,391,0,0,391,1
"138",13,13,391,0,0,391,1
"139",13,14,391,0,0,391,1
"140",13,15,391,0,0,391,1
"141",13,16,391,1,0,391,1
"142",13,17,391,12,0,391,1
"143",13,18,391,0,0,391,1
"144",13,19,391,1,0,391,1
"145",13,2,391,0,0,391,1
"146",13,20,391,57,0,391,1
"147",13,21,391,42,0,391,1
"148",13,22,391,0,0,391,1
"149",13,23,391,0,0,391,1
"150",13,24,391,0,0,391,1
"151",13,25,391,0,0,391,1
"152",13,26,391,0,0,391,1
"153",13,27,391,0,0,391,1
"154",13,28,391,0,0,391,1
"155",13,29,391,0,0,391,1
"156",13,3,391,50,0,391,1
"157",13,30,391,0,0,391,1
"158",13,31,391,0,0,391,1
"159",13,32,391,0,0,391,1
"160",13,4,391,0,0,391,1
"161",13,5,391,0,0,391,1
"162",13,6,391,0,0,391,1
"163",13,7,391,0,0,391,1
"164",13,8,391,146,0,391,1
"165",13,9,391,75,0,391,1
"166",14,0,391,0,0,391,1
"167",14,1,391,0,0,391,1
"168",14,10,391,0,0,391,1
"169",14,11,391,0,0,391,1
"170",14,12,391,0,0,391,1
"171",14,13,391,0,0,391,1
"172",14,14,391,0,0,391,1
"173",14,15,391,0,0,391,1
"174",14,16,391,0,0,391,1
"175",14,17,391,7,0,391,1
"176",14,18,391,4,0,391,1
"177",14,19,391,14,0,391,1
"178",14,2,391,107,0,391,1
"179",14,20,391,97,0,391,1
"180",14,21,391,32,0,391,1
"181",14,22,391,25,0,391,1
"182",14,23,391,6,0,391,1
"183",14,24,391,0,0,391,1
"184",14,25,391,0,0,391,1
"185",14,26,391,0,0,391,1
"186",14,27,391,0,0,391,1
"187",14,28,391,0,0,391,1
"188",14,29,391,0,0,391,1
"189",14,3,391,0,0,391,1
"190",14,30,391,0,0,391,1
"191",14,31,391,0,0,391,1
"192",14,32,391,0,0,391,1
"193",14,4,391,0,0,391,1
"194",14,5,391,0,0,391,1
"195",14,6,391,0,0,391,1
"196",14,7,391,7,0,391,1
"197",14,8,391,37,0,391,1
"198",14,9,391,55,0,391,1
"199",15,0,391,0,0,391,1
"200",15,1,391,0,0,391,1
"201",15,10,391,0,0,391,1
"202",15,11,391,0,0,391,1
"203",15,12,391,0,0,391,1
"204",15,13,391,0,0,391,1
"205",15,14,391,0,0,391,1
"206",15,15,391,0,0,391,1
"207",15,16,391,0,0,391,1
"208",15,17,391,0,0,391,1
"209",15,18,391,9,0,391,1
"210",15,19,391,5,0,391,1
"211",15,2,391,134,0,391,1
"212",15,20,391,82,0,391,1
"213",15,21,391,61,0,391,1
"214",15,22,391,36,0,391,1
"215",15,23,391,12,0,391,1
"216",15,24,391,5,0,391,1
"217",15,25,391,2,0,391,1
"218",15,26,391,0,0,391,1
"219",15,27,391,0,0,391,1
"220",15,28,391,0,0,391,1
"221",15,29,391,0,0,391,1
"222",15,3,391,0,0,391,1
"223",15,30,391,0,0,391,1
"224",15,31,391,0,0,391,1
"225",15,32,391,0,0,391,1
"226",15,4,391,0,0,391,1
"227",15,5,391,0,0,391,1
"228",15,6,391,0,0,391,1
"229",15,7,391,34,0,391,1
"230",15,8,391,11,0,391,1
"231",15,9,391,0,0,391,1
"232",16,0,391,0,0,391,1
"233",16,1,391,0,0,391,1
"234",16,10,391,0,0,391,1
"235",16,11,391,0,0,391,1
"236",16,12,391,0,0,391,1
"237",16,13,391,99,0,391,1
"238",16,14,391,0,0,391,1
"239",16,15,391,0,0,391,1
"240",16,16,391,0,0,391,1
"241",16,17,391,0,0,391,1
"242",16,18,391,9,0,391,1
"243",16,19,391,25,0,391,1
"244",16,2,391,1,0,391,1
"245",16,20,391,154,0,391,1
"246",16,21,391,77,0,391,1
"247",16,22,391,14,0,391,1
"248",16,23,391,12,0,391,1
"249",16,24,391,0,0,391,1
"250",16,25,391,0,0,391,1
"251",16,26,391,0,0,391,1
"252",16,27,391,0,0,391,1
"253",16,28,391,0,0,391,1
"254",16,29,391,0,0,391,1
"255",16,3,391,0,0,391,1
"256",16,30,391,0,0,391,1
"257",16,31,391,0,0,391,1
"258",16,32,391,0,0,391,1
"259",16,4,391,0,0,391,1
"260",16,5,391,0,0,391,1
"261",16,6,391,0,0,391,1
"262",16,7,391,0,0,391,1
"263",16,8,391,0,0,391,1
"264",16,9,391,0,0,391,1
"265",17,0,391,0,0,391,1
"266",17,1,391,0,0,391,1
"267",17,10,391,0,0,391,1
"268",17,11,391,0,0,391,1
"269",17,12,391,0,0,391,1
"270",17,13,391,111,0,391,1
"271",17,14,391,0,0,391,1
"272",17,15,391,20,0,391,1
"273",17,16,391,23,0,391,1
"274",17,17,391,0,0,391,1
"275",17,18,391,0,0,391,1
"276",17,19,391,1,0,391,1
"277",17,2,391,0,0,391,1
"278",17,20,391,109,0,391,1
"279",17,21,391,83,0,391,1
"280",17,22,391,37,0,391,1
"281",17,23,391,1,0,391,1
"282",17,24,391,6,0,391,1
"283",17,25,391,0,0,391,1
"284",17,26,391,0,0,391,1
"285",17,27,391,0,0,391,1
"286",17,28,391,0,0,391,1
"287",17,29,391,0,0,391,1
"288",17,3,391,0,0,391,1
"289",17,30,391,0,0,391,1
"290",17,31,391,0,0,391,1
"291",17,32,391,0,0,391,1
"292",17,4,391,0,0,391,1
"293",17,5,391,0,0,391,1
"294",17,6,391,0,0,391,1
