"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,7.82810424710425,1.07248250050834,9.281,4.72889719141633,11.1505791505791,1.34591095003608,92.9343612320266,7,8.33448738195807
"2",2,8.19416141732284,1.0520329958867,11.269,3.08280902659145,6.58011338448932,0.786360191953294,58.2365940485511,9,8.8503937007874
"3",3,9.26748449612403,1.00370499339521,11.357,3.34883720930233,8,0.882830660346014,78.6356589147287,10,9.82945736434108
"4",4,9.24194980694981,1.14075259454757,12.771,2.996138996139,8,0.866371183181264,77.4517374517374,8,9.68146718146718
"5",5,8.40521518987342,0.912554841689158,11.437,3.74223457561224,4.5716989403098,0.816696303419678,40.6726886736,8,8.89662447257384
"6",6,9.33906976744186,0.90782606217104,11.491,1.1302536731684,1.35002522072893,0.248895956359948,13.2647826920458,9,9.82558139534884
"7",7,6.53533976833977,0.957664896846835,10.887,6.3011583011583,8,1.36943516935804,55.4594594594595,6,6.93243243243243
"8",8,6.99871705426357,0.695645025384543,8.613,2.72868217054264,8,0.928895310512691,60.1860465116279,8,7.52325581395349
"9",9,7.77966795366795,0.917064167748092,11.7,4.44787644787645,8,1.07147784737175,66.3320463320463,7,8.29150579150579
"10",10,8.48167052023121,1.16122847996094,11.847,1.650951783717,2.14747863596271,0.36260283729302,19.4576460223789,8,9.0606936416185
"34",11,0,0,0,0,0,0,0,0,0
"35",12,0,0,0,0,0,0,0,0,0
"36",13,0,0,0,0,0,0,0,0,0
"37",14,0,0,0,0,0,0,0,0,0
"38",15,0,0,0,0,0,0,0,0,0
"11",16,10.2087636363636,0.0827322686914138,10.411,0.44622691834878,0.44622691834878,0.0973746966885793,4.68538264266219,10,10.5
"12",17,10.2538262548263,0.116049327614576,10.545,5.52567003105297,5.56867135425182,1.2053673080491,58.514050542843,10,10.507722007722
"13",18,11.2883962962963,1.17266660597097,13.895,5.68888888888889,8,1.25113845863708,95.8222222222222,11,11.9777777777778
"14",19,11.7747925925926,1.02785471610391,15.7,4.2962962962963,8,1.03510023219578,98.2814814814815,11,12.2851851851852
"15",20,13.005462962963,1.87356898068605,17.406,5.24444444444444,8,1.16223277720716,109.422222222222,12,13.6777777777778
"16",21,13.6941785714286,1.17547416414405,17.53,2.74158384873117,6.67516067517155,0.730146377061564,95.0614399723091,13,14.2410714285714
"17",22,12.6598959276018,2.10994481682076,17.484,1.89051851076569,6.23588941610773,0.516883247708115,81.1653208390674,12,13.0158371040724
"18",23,13.2003049327354,1.22453627049931,15.08,3.08117503853197,6.67089353002552,0.84845347251267,91.8220075803288,12,13.7645739910314
"19",24,13.8783920704846,2.69178007039403,17.809,5.85022026431718,8,1.30570756482751,115.506607929515,15,14.4383259911894
"20",25,15.1639030837004,1.03297739154864,18.13,6.94273127753304,8,1.52104759452036,127.171806167401,15,15.8964757709251
"21",26,17.7104052863436,0.573797637518218,18.213,5.70925110132159,8,1.30480359006214,145.356828193833,18,18.1696035242291
"22",27,18.2261893491124,0.227837660731908,18.773,2.25231783470968,2.62511526942025,0.49415380894466,48.9374299189852,18,18.6420118343195
"23",28,16.67813,1.39790752567963,18.768,1.30129424362453,4.00398228807547,0.431503128556723,68.708336063375,16,17.16
"24",29,16.0294625550661,1.13641885591077,18.718,4.65198237885463,8,1.08306956588298,131.259911894273,15,16.4074889867841
"25",30,16.9019941520468,1.59361955566594,18.939,1.17522832527339,2.71573031921283,0.319895644046201,47.1917698452686,15,17.3771929824561
"26",31,15.0474341085271,0.494605079186793,19.017,5.06749741360921,5.56346524557947,1.10444109488263,86.923753507484,15,15.6240310077519
"27",32,15.082025862069,0.248269821142568,15.586,3.60484678824565,3.75033387835422,0.785694748467644,58.275662204599,15,15.5387931034483
"39",33,0,0,0,0,0,0,0,0,0
"40",34,0,0,0,0,0,0,0,0,0
"28",35,16.3234814814815,0.559772249534315,17.374,0.27524761050983,0.43715796963326,0.0681453864337467,7.37501685807222,16,16.8703703703704
"29",36,17.1552470588235,0.449656960790943,18.329,1.54984147635559,1.93730184544449,0.339473401876186,34.0167412273636,17,17.5588235294118
"30",37,17.2611305970149,0.784539919635874,18.324,3.70501313962498,7.63802708784227,0.995012970566002,136.144982830681,18,17.8246268656716
"31",38,15.9557213740458,0.788770153479661,19.17,3.36577718151823,6.25413915998422,0.839410080896518,103.002330058519,16,16.469465648855
"32",39,16.332468401487,1.01522079243548,19.764,3.62825278810409,8,0.89918544130443,133.7843866171,16,16.7230483271375
"33",40,14.7082118959108,2.17220117306751,20.273,3.42007434944238,8,0.809698896908448,121.977695167286,15,15.2472118959108
