"","plot","mean.height_mean","mode.el_mean","height.2_mean","max.el_mean","mode.2_mean","max.can.ht_mean","mean.max.ht_mean","mean.vai_mean","max.vai_mean","deep.gaps_mean","porosity_mean","std.std_mean","mean.std_mean","rugosity_mean","top.rugosity_mean","plot_1_mean","mean.return.ht_mean","sd.return.ht_mean","sky.fraction_mean","cover.fraction_mean","max.ht_mean","rumple_mean","clumping.index_mean","mean.height_sd","mode.el_sd","height.2_sd","max.el_sd","mode.2_sd","max.can.ht_sd","mean.max.ht_sd","mean.vai_sd","max.vai_sd","deep.gaps_sd","porosity_sd","std.std_sd","mean.std_sd","rugosity_sd","top.rugosity_sd","plot_1_sd","mean.return.ht_sd","sd.return.ht_sd","sky.fraction_sd","cover.fraction_sd","max.ht_sd","rumple_sd","clumping.index_sd"
"11","ARNO12",9.576226448,7.745,6.2304523345,22.5,6.646590668,28.058,17.700665,7.6269919465,8.1085382735,0,0.771154762,844.943586,17.409715,22.88079161,8.142884943,NA,8.7097526045,7.2451606095,0.934242497,99.065757505,28.058,6.62,0.9409199315,0.275615161932078,0.431335136523794,0.150371768916679,0.707106781186548,0.63997264351028,1.57260548135888,0.729896832744189,0.107237426535152,0.107876505401348,0,0.00213815655601967,345.896035093282,3.11145901656905,5.19118415727878,0.268344400094136,2.82842712474619,0.292357693350223,0.0941698273466744,0.162580190232501,0.162580190232502,1.57260548135888,0.735391052434009,0.00958227764218324
"12","ARNO35",7.436786913,6.8,4.913542757,23,6.532993188,26.318,15.25886,7.544172179,8.051948052,0,0.767407407,792.0573396,15.76408831,23.31417722,7.860637052,NA,6.826618171,6.257593421,1.068023798,98.9319762,26.318,6.98,0.868009125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ARNO36",4.227295322,3.175,1.400833766,8,1.481342297,20.892,8.220975,7.690150387,8.048879837,0,0.760227273,105.1886512,3.596983022,9.604705321,4.486962575,NA,3.731477401,2.155608119,0.846182775,99.15381722,20.892,4,0.676055007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ARNO5",5.739211563,5,4.541776809,18,4.959838707,24.234,13.8001,7.571332525,8.27027027,0,0.704,368.6339551,12.72223785,14.379799,6.800162473,NA,5.073389557,5.467314293,1.388888889,98.61111111,24.234,4.5,0.919000064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","FERN03",14.85457738,13.1,5.953175662,27,7.21734023,31.95,24.0337,7.391130191,8.071856287,0,0.752272727,1494.231228,24.69583513,29.7379716,6.720259085,NA,14.18673142,7.742643386,2.352236123,97.64776388,31.95,4.625,0.947442108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","FERN06",12.224527,11.45,5.37774946266667,22,7.016113815,26.559,21.6936333333333,7.45014799433333,8.04380355933333,0,0.703150276666667,1047.1073073,24.0342898233333,20.1764067966667,3.348551786,NA,11.07758127,6.930171045,1.898912974,98.1010870233333,26.559,3.56666666666667,0.870240002666667,1.51887281972076,1.88215302247187,1.0117668486307,4.35889894354067,1.64011292358597,1.22907810980426,3.36116827953218,0.411633592784095,0.0239647774056827,0,0.0431686431314775,516.03248881402,8.62184305302681,4.38441156610303,2.18729373332358,10.5830052442584,0.963816788659203,1.11551852222733,2.21443838661195,2.21443838721977,1.22907810980426,2.02628560013966,0.0783576197589309
"17","FERN08",13.14275291,11.825,5.326791291,21.5,6.523536339,25.042,19.4623,7.0726752205,8.2304674145,0,0.661755952,810.894793505,15.4248448965,17.7075941465,5.28961429,NA,12.275702715,6.252686414,3.086570633,96.913429365,25.042,3.575,0.8166418375,0.377900703415124,0.176776695296637,2.49995059025412,4.94974746830583,2.95710116015471,2.79165757212449,1.93174501552353,0.095510903440456,0.0621390130444929,0,0.0136791489734677,1068.73641945124,14.1781713317427,17.8269342182626,3.83069957475827,11.3137084989848,0.306829860457471,3.08140045035882,0.284200169404093,0.284200166575668,2.79165757212449,0.106066017177982,0.0436838258687989
"18","FERN10",9.7670871605,9.02,5.1190298495,22.5,6.2752212305,25.98,16.10536,6.8500287485,8.20556982,0,0.725796703,395.0511016,12.285414013,15.363384965,6.15940249,NA,9.054595491,5.9424875495,5.1766388215,94.82336118,25.98,4.125,0.926870707,2.78647358775674,3.08298556597335,1.36908192264189,2.12132034355964,1.93845222103504,0.816001225489276,2.70233584352501,0.17671394310534,0.154409886745514,0,0.118071291665317,86.0798697162289,4.00167598768014,0.398500159377853,0.0668829775902309,5.65685424949238,2.55822878118145,1.34796016649788,1.77285860333063,1.77285860262352,0.816001225489276,1.37885822331377,0.015620705802687
"19","FERN13",5.857760376,4.95,2.892677853,19,4.018395202,25.482,14.94335,7.964277578,8.213649852,0,0.75,346.9921145,10.141691,15.62492298,8.130151622,NA,5.134686246,3.888514463,0.052770449,99.94722955,25.482,9.1,0.833436385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","FERN15",12.76648386,11,4.526450523,21,5.468089246,23.724,19.46815,6.85834234,8.019900498,0,0.692,455.598705,14.77658967,15.40295759,4.470851565,NA,11.73094428,5.838666425,4.968553459,95.03144654,23.724,3.8,0.898959041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
