site,plot,transect,notes,mean.height,transect.length,mode.el,height.2,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,max.vai,deep.gaps,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,rumple,clumping.index
GRSM,GRSM_061,GRSM_061E,GRSM_61E,12.21552112,40,10.25,5.63121909,24,6.981224821,28.492,21.806925,5.508304279,8.008849558,0,0.676724138,1529.115732,24.80005458,30.23364061,6.235179932,10.50022949,7.51477975,18.95264544,81.04735456,28.492,5.075,0.951461493
GRSM,GRSM_061,GRSM_061W,GRSM_61W,11.35331205,40,9.5,5.236810685,24,5.54977477,30.285,20.65795,7.628960463,8.015625,0,0.725806452,498.0868125,14.41426743,17.03865332,6.921520749,11.09669172,6.612835579,0.962833624,99.03716638,30.285,6.775,0.94958483
GRSM,GRSM_064,GRSM_064C,GRSM_64C,8.511055728,40,7.4,5.429610366,24,5.961543424,33.542,19.747225,7.365335411,8.096219931,0,0.735,873.9920085,18.32429546,23.19940095,8.823315028,7.701277382,6.650183924,1.934963719,98.06503628,33.542,8.175,0.905503831
GRSM,GRSM_064,GRSM_064E,GRSM_64E,7.051386042,40,5.9,4.911014654,25,6.568104749,34.085,18.80255,7.805633058,15.38971808,0,0.742142857,1255.182321,22.60610318,27.27904728,9.794615834,6.195033606,6.501108911,0.92623498,99.07376502,34.085,9.325,0.840271269
GRSM,GRSM_064,GRSM_064W,GRSM_64W,6.519360767,40,4.525,3.476579601,14,3.05767477,33.393,17.12955,7.834218027,8.013888889,0,0.751470588,1900.323035,22.27820167,37.47005158,10.97764837,5.798211633,5.738395704,0.325960419,99.67403958,33.393,12.55,0.874181469
GRSM,GRSM_065,GRSM_065C,GRSM_65C,8.13151627,40,6.375,3.348058684,18,4.053933275,23.067,16.170975,6.902651803,8.066574202,0,0.6125,218.3982105,11.31670109,9.504235209,5.585130063,7.666252778,4.66330752,6.058995482,93.94100452,23.067,5.475,0.921864553
GRSM,GRSM_065,GRSM_065W,GRSM_65W,6.61267803,40,5.3,3.181662549,18,3.6,28.297,17.096175,7.502090285,8.09946714,0,0.692241379,383.8773582,12.44312445,15.13426616,6.636670508,5.887704472,4.636257332,1.782152459,98.21784754,28.297,6.975,0.885382201
GRSM,GRSM_066,GRSM_066C,GRSM_66C,8.084108737,40,6.825,5.480799513,31,7.37186374,33.987,19.495375,7.077217683,8.019753086,0,0.801428571,1506.037196,24.2862031,30.26908546,10.40302838,6.399050594,5.946095105,3.154664877,96.84533512,33.987,10.1,0.929730172
GRSM,GRSM_066,GRSM_066E,GRSM_66E,11.78716968,40,9.35,7.054606135,24,7.853502403,33.836,22.40395,6.886583523,8.146938776,0,0.74,1592.300643,25.53089936,30.66714563,9.870745164,10.52501677,8.338298198,3.20147406,96.79852594,33.836,8.525,0.907685182
GRSM,GRSM_066,GRSM_066W,GRSM_66W,6.440288289,40,5.125,3.430009472,15,3.50847189,29.693,15.540075,7.764818257,8.175182482,0,0.792741935,555.344871,13.3377719,19.42803932,7.807597465,5.800893337,4.934690941,0.574320482,99.42567952,29.693,6.15,0.903923308
HARV,HARV_033,HARV_033C,HARV_33C,13.86328375,40,12.375,4.35388455,26,6.934289798,26.844,22.951625,7.3080098,8.029304029,0,0.6375,1492.319537,28.49014591,26.08890804,3.738579551,13.30382429,6.776670273,2.345786273,97.65421373,26.844,3.6,0.933445698
HARV,HARV_033,HARV_033E,HARV_33E,8.275559138,40,7.075,4.061897432,24,5.510841587,25.394,15.98785,7.940778315,8.829875519,0,0.695192308,444.0322188,13.98446667,15.76283321,7.20913085,7.611186292,5.4974992,0.085600152,99.91439985,25.394,6.025,0.917615406
HARV,HARV_033,HARV_033W,HARV_33W,9.835137815,40,8.05,3.865618247,21,4.620335486,26.184,19.6368,7.460991438,8.050955414,0,0.686111111,354.2746402,13.19635502,13.42128363,5.693526991,9.259402514,5.247160865,1.367890569,98.63210943,26.184,5.075,0.920697746
HARV,HARV_034,HARV_034E,HARV_34E,6.546587127,40,5.175,4.785151275,25,4.549107055,27.663,14.9771,6.672190596,8.030769231,0,0.776724138,341.810523,11.50407024,14.47297105,7.681646568,5.605444789,5.215437516,7.361797753,92.63820225,27.663,6.4,0.844955417
HARV,HARV_034,HARV_034W,HARV_34W,5.267374351,40,4.325,4.595036852,27,6.01409802,28.766,11.354675,7.367180178,8.04494382,0,0.766666667,1280.956074,15.64953454,32.18770173,9.544737243,4.422881183,5.536296308,1.476893759,98.52310624,28.766,5.575,0.637075523
HARV,HARV_035,HARV_035C,HARV_35C,7.407550282,40,6.725,1.700958947,14,2.387336382,18.032,12.5034,8.000655738,8.026229508,0,0.519736842,30.35960937,4.919434336,2.481687971,2.183749925,6.795270044,2.671119601,0,100,18.032,3,0.691020822
HARV,HARV_035,HARV_035E,HARV_35E,6.982402187,40,5.85,2.504979135,16,3.539420857,16.94,12.336825,7.473223511,8.058536585,0,0.538888889,76.42327342,6.947957312,5.305578442,2.915521899,6.255994679,3.409788786,1.980590216,98.01940978,16.94,3.65,0.803219836
HARV,HARV_036,HARV_036C,HARV_36C,11.36868401,40,8.8,4.651238368,20,5.4,28.576,19.87605,7.648216876,8.088560886,0,0.71,640.3146015,17.53701625,18.24192047,5.511775269,10.95643853,6.141958745,0.869277258,99.13072274,28.576,5.8,0.915602901
HARV,HARV_036,HARV_036E,HARV_36E,9.781729112,40,7.725,4.604042384,21,5.45888038,28.747,18.856675,7.002325522,8.192192192,0,0.726666667,1123.90086,23.46205962,23.94645315,7.442595503,8.715201941,6.482331975,2.230694354,97.76930565,28.747,6.6,0.963833628
HARV,HARV_036,HARV_036W,HARV_36W,9.998306035,40,8.2,4.429467886,19,4.990991885,25.474,17.000325,7.358491584,8.022408964,0,0.705769231,396.6605764,12.97122318,15.11317126,5.80195606,9.255764148,5.407302497,2.184838755,97.81516125,25.474,5.25,0.946126224
HARV,HARV_037,HARV_037C,HARV_37C,5.823041156,40,4.725,3.409656632,19,4.110884941,21.031,12.923775,7.337890952,8.10738255,0,0.65,183.7599752,8.862718239,10.25729987,5.739538342,5.158001984,4.359122545,2.340786181,97.65921382,21.031,4.55,0.862696019
HARV,HARV_037,HARV_037E,HARV_37E,6.736144706,40,5.125,3.019124344,14,3.782773453,23.024,14.10455,7.594016438,8.022284123,0,0.628125,176.5997204,9.627775343,9.160003402,4.476848622,6.174258414,4.249641276,0.725979702,99.2740203,23.024,4.65,0.861319371
HARV,HARV_037,HARV_037W,HARV_37W,9.350503662,40,8.6,5.120227359,18,5.948949487,20.937,14.13845,7.306813347,8.604651163,0,0.655681818,81.79308526,6.021798194,6.747668617,4.934785876,8.914686404,5.655948101,1.402175337,98.59782466,20.937,3.475,0.942912129
HARV,HARV_038,HARV_038C,HARV_38C,4.853093923,40,3.775,2.026350533,10,2.030855731,20.64,9.582,7.825242478,8.268656716,0,0.739772727,127.1159175,5.787662811,9.675684817,4.806918614,4.305395084,3.064025268,0.339958159,99.66004184,20.64,4.675,0.76720148
HARV,HARV_038,HARV_038E,HARV_38E,4.769352016,40,3.95,3.231615601,27,4.277557714,28.08,9.760275,7.831359692,8.050314465,0,0.789655172,114.7906287,5.012163334,9.469363623,7.591122021,3.96153546,3.01359674,0.226791654,99.77320835,28.08,4.65,0.730120672
HARV,HARV_038,HARV_038W,HARV_38W,6.08248724,40,5.475,2.471074334,20,3.065840015,20.374,10.509175,7.718085894,9.380191693,0,0.689285714,119.9407222,5.093310643,9.695303445,4.356694812,5.258457954,2.838069188,0.943476413,99.05652359,20.374,3.45,0.780491565
HARV,HARV_039,HARV_039E,HARV_39E,8.917797072,40,7.275,3.887005752,19,4.324277396,23.171,17.12215,7.216648935,8.5,0,0.675,301.6915997,13.20992186,11.27783508,5.170446122,8.199987629,5.277787611,2.548177916,97.45182208,23.171,5.05,0.931037519
HARV,HARV_039,HARV_039W,HARV_39W,6.01900008,40,5.05,3.78696842,19,4.521891197,25.284,13.0241,7.202492371,8.078431373,0,0.724038462,423.9422617,12.52662511,16.34092791,7.545403076,5.276221037,4.931661941,2.316666667,97.68333333,25.284,6,0.891554244
HARV,HARV_040,HARV_040W,HARV_40W,6.001521459,40,5.175,2.900704649,18,3.89799628,24.011,11.229725,7.87812178,8.079404467,0,0.724,186.5560646,7.641354742,11.32103186,5.291873135,5.586800878,4.074109941,0.173568063,99.82643194,24.011,4.525,0.800397152
HARV,HARV_041,HARV_041C,HARV_41C,9.236559895,40,7.45,3.991709939,19,4.341370751,22.872,14.541625,7.565282495,8.033057851,0,0.692708333,236.8837004,10.1569764,11.56371613,5.026746288,8.527450064,5.015129371,1.55046225,98.44953775,22.872,4.85,0.928275232
HARV,HARV_041,HARV_041E,HARV_41E,9.533595153,40,8.675,5.091073862,21,6.337931445,21.271,15.551925,6.366023306,15.54716981,0,0.720454545,382.8976795,12.67621546,14.90675153,5.99640873,8.540350147,5.92806859,9.818543376,90.18145662,21.271,4.35,0.943464743
HARV,HARV_041,HARV_041W,HARV_41W,6.467444194,40,5.825,2.645856057,14,3.224030862,19.781,11.633125,7.483494355,8.198757764,0,0.673809524,104.4548224,6.284840982,8.059503473,3.958483893,5.887784269,3.642771144,1.287961947,98.71203805,19.781,3.75,0.880585433
HARV,HARV_042,HARV_042C,HARV_42C,7.694975081,40,6.8,4.879614362,23,5.979966555,23.626,14.6945,7.161281633,8.061776062,0,0.712,673.5550169,15.40834904,20.88391239,6.74880432,7.018619144,6.001786606,1.634099948,98.36590005,23.626,4.475,0.902514898
HARV,HARV_042,HARV_042E,HARV_42E,5.983903786,40,4.6,2.808796069,10,2.42693222,23.798,12.536275,7.894803513,9.813765182,0,0.75,145.5162622,6.575496235,10.11331358,6.6125615,5.50908511,3.741479004,0.212785642,99.78721436,23.798,5.55,0.874422884
HARV,HARV_042,HARV_042W,HARV_42W,4.817065359,40,3.6,1.694024396,9,1.946792233,22.959,11.996275,7.234695821,8.16064257,0,0.690625,85.77057499,5.844069833,7.184526622,6.446431905,4.341273446,2.967815357,2.49867092,97.50132908,22.959,5.6,0.751937276
HARV,HARV_043,HARV_043C,HARV_43C,10.59754311,40,10.175,3.036430218,19,3.852839862,20.724,15.845875,6.815652103,8.128514056,0,0.656818182,119.2584347,7.723044617,7.72094661,3.353223854,9.829493425,3.88293473,7.616130679,92.38386932,20.724,3.375,0.887097618
HARV,HARV_043,HARV_043E,HARV_43E,7.116415473,40,6.5,3.199043246,18,3.840572874,20.443,12.454075,8.010960504,8.876712329,0,0.667857143,63.34918674,5.245432107,5.9862032,4.918948441,6.380053517,3.743060669,0.008631107,99.99136889,20.443,5.4,0.906906151
HARV,HARV_043,HARV_043W,HARV_43W,7.827384098,40,7.3,2.388444731,13,2.93428015,18.502,12.87645,7.884871594,8.31884058,0,0.65375,31.37281266,4.626855612,3.156741961,3.080312554,7.280514542,3.187914305,0.171852388,99.82814761,18.502,3.325,0.867736885
HARV,HARV_044,HARV_044C,HARV_44C,7.173223493,40,6.225,3.014712683,13,3.213156548,19.529,12.58815,7.863997667,8.047337278,0,0.651190476,30.27863524,4.430616156,3.263169581,4.137528307,6.641416154,3.629735596,0.185138433,99.81486157,19.529,4.375,0.892594382
HARV,HARV_044,HARV_044E,HARV_44E,8.091184148,40,6.525,4.672532099,21,5.243984649,22.897,15.206475,7.5160537,8.459016393,0,0.683333333,466.5240848,14.78920337,15.74177717,6.115461997,7.558218729,5.904832532,1.068952234,98.93104777,22.897,5.35,0.899324924
HARV,HARV_044,HARV_044W,HARV_44W,5.667961713,40,4.55,2.350898365,14,3.130095845,20.891,11.9857,7.475702149,8.407643312,0,0.671590909,116.0834978,7.566198019,7.670472303,4.502070881,5.041745141,3.484089418,0.987458556,99.01254144,20.891,4.725,0.823323969
HARV,HARV_045,HARV_045C,HARV_45C,9.150361779,40,7.825,4.769196361,21,6.184203667,25.001,17.007125,7.504963529,9.052631579,0,0.701923077,758.8539049,20.3964426,18.515913,6.380777604,8.650449671,6.453139193,1.529386061,98.47061394,25.001,5.3,0.950705435
HARV,HARV_045,HARV_045E,HARV_45E,9.148816992,40,7.475,4.505778488,21,5.074384199,23.31,16.443125,7.06935241,8.267409471,0,0.666666667,216.3291494,9.804544705,10.96357845,4.922818701,8.630718873,5.39427279,3.13184871,96.86815129,23.31,5.15,0.924756092
HARV,HARV_045,HARV_045W,HARV_45W,10.11581042,40,7.5,5.638936498,22,6.371812929,25.983,18.118375,6.680861404,8.096618357,0,0.694444444,935.0643128,19.57073978,23.49575403,7.194993212,9.468081105,6.946316333,3.908913785,96.09108622,25.983,7.525,0.964084232
HARV,HARV_047,HARV_047C,HARV_47C,8.350294717,40,6.825,3.809828863,18,4.609162071,19.234,14.653375,6.833301304,8.219378428,0,0.6,209.0901049,8.92295814,11.37852903,3.786572401,7.423225678,4.52003391,4.554292875,95.44570713,19.234,3.3,0.931536152
HARV,HARV_047,HARV_047E,HARV_47E,5.589064331,40,4.95,3.2977884,22,4.811184885,21.858,9.9714,7.932226534,8.218947368,0,0.775,249.5307237,7.508913943,13.89773129,6.382801498,4.723203298,3.512893947,0.091537836,99.90846216,21.858,4.875,0.840830886
HARV,HARV_048,HARV_048C,HARV_48C,6.447096224,40,5.575,3.136257041,15,3.231775828,21.334,9.72515,8.096701481,15.66820276,0,0.778409091,66.82326322,4.677106715,6.704322188,4.626825048,5.955189231,3.788067215,0.195977308,99.80402269,21.334,4.3,0.899995858
HARV,HARV_048,HARV_048E,HARV_48E,9.611265536,40,8.725,3.237646635,14,4.006167121,23.621,14.685075,7.532316278,10.65181058,0,0.687,289.0572617,9.630821355,14.01087227,4.226092372,9.175992149,4.491003005,1.013333333,98.98666667,23.621,4.125,0.878286289
HARV,HARV_048,HARV_048W,HARV_48W,7.3501284,40,6.725,3.200627123,17,3.955929094,20.396,11.910075,7.762610394,8.582781457,0,0.694047619,77.95851083,5.97692834,6.498833622,4.781346578,6.88960511,3.971780726,0.547778454,99.45222155,20.396,4.525,0.886376747
HARV,HARV_049,HARV_049C,HARV_49C,6.264338996,40,5.4,2.210579488,13,2.8,21.223,10.929725,7.99745902,8.294117647,0,0.714772727,57.27801776,4.908799389,5.76035644,4.727012213,5.731534388,3.092878196,0.009768487,99.99023151,21.223,3.9,0.821287231
HARV,HARV_049,HARV_049E,HARV_49E,8.716479992,40,8.075,2.983541571,18,3.764223027,20.197,13.79595,7.6792488,8.026936027,0,0.626190476,83.22087166,6.734389675,6.153768549,3.270080701,8.055678578,3.920178574,0.678869124,99.32113088,20.197,3.425,0.860211466
HARV,HARV_049,HARV_049W,HARV_49W,5.127510589,40,4.15,1.550104982,9,1.824143635,19.221,9.544175,7.789935605,8.103896104,0,0.69125,82.97825035,4.723160808,7.78909509,4.111870264,4.621370614,2.695849516,0.508458003,99.491542,19.221,3.925,0.725880732
HARV,HARV_050,HARV_050C,HARV_50C,5.620346665,40,4.375,2.271980114,13,2.446298224,23.388,11.770025,7.863778482,8.703030303,0,0.7375,164.7759742,7.523493632,10.40062584,6.277175874,5.102697727,3.517226133,0.389847379,99.61015262,23.388,5.85,0.808574369
HARV,HARV_050,HARV_050E,HARV_50E,6.238080025,40,4.975,3.346069637,24,3.64340157,27.866,11.80385,7.585806623,8.02962963,0,0.764655172,361.3292581,8.621791047,16.94089659,6.694149989,5.705147536,4.595740831,1.579538165,98.42046183,27.866,6.35,0.739159844
HARV,HARV_050,HARV_050W,HARV_50W,5.637434268,40,4.675,3.376272992,21,4.366849551,22.869,11.931625,7.812598817,8.11627907,0,0.751041667,211.5322423,7.938485029,12.18657859,5.649608462,5.157058976,4.269900028,0.295521709,99.70447829,22.869,5.95,0.86858004
HARV,HARV_051,HARV_051C,HARV_51C,6.36026777,40,4.475,3.077901756,13,2.932469096,21.379,15.08295,7.791973705,8.114695341,0,0.685227273,293.3568009,11.20884073,12.9506251,5.999366257,5.740590066,4.417484734,0.273610718,99.72638928,21.379,5.325,0.873974823
HARV,HARV_051,HARV_051E,HARV_51E,7.206466224,40,6.1,4.04856392,15,4.182104733,21.673,13.123975,7.318871144,8.031746032,0,0.689130435,53.19612739,4.883522268,5.417318308,6.061991796,6.45950822,4.395859678,1.525865277,98.47413472,21.673,4.975,0.908518838
HARV,HARV_051,HARV_051W,HARV_51W,4.974089128,40,4.125,2.012936707,15,2.249305448,22.709,9.781275,7.735546839,8.386363636,0,0.748958333,210.6722049,6.30658279,13.07284278,5.808785808,4.416245465,3.116798702,0.611499365,99.38850064,22.709,3.65,0.681118452
HARV,HARV_052,HARV_052C,HARV_52C,9.62790444,40,9.15,3.055148184,15,3.468068627,23.979,13.83465,8.012060973,8.819112628,0,0.67,42.82686337,5.185542645,3.992118592,4.314732279,9.099953275,3.822768314,0.009381743,99.99061826,23.979,3.5,0.80650734
HARV,HARV_052,HARV_052E,HARV_52E,7.361982851,40,6.775,2.288216368,16,2.687819748,20.973,11.97105,7.990238763,8.139941691,0,0.639772727,37.40152233,4.564249519,4.070521915,3.350354677,6.854980925,3.125441284,0.014842301,99.9851577,20.973,2.475,0.762683408
HARV,HARV_052,HARV_052W,HARV_52W,10.81304553,40,10.65,2.422893368,17,2.877064476,22.457,15.0524,7.314607662,8.09039548,0,0.636956522,103.819861,7.389791215,7.015044318,3.337362883,9.968932734,3.703851478,3.195701357,96.80429864,22.457,3.25,0.759210984
MLBS,MLBS_060,MLBS_060C,MLBS_60C,11.04113568,50,10,2.766658821,16,3.693237063,17.074,14.39376,6.003875869,8.350364964,0,0.672222222,69.01621252,6.073679019,5.668036317,1.990336148,9.632758137,3.710879389,9.352721112,90.64727889,17.074,2.56,0.888347347
MLBS,MLBS_060,MLBS_060E,MLBS_60E,8.861711582,40,8.25,3.554719166,16,4.60298816,16.596,13.33405,7.075864349,8.16091954,0,0.636111111,116.4882273,7.48257444,7.778130048,3.013719271,8.315246202,4.468009288,3.101604278,96.89839572,16.596,3.2,0.887434649
