0.156,36





0.108,34
0.156,36

0.155,37

0.132,35
0.158,34
0.129,40

0.133,34

0.205,37
0.106,36
0.154,38


0.155,37

0.129,40
0.129,39



0.106,36
0.155,37
0.157,35


0.129,39
0.156,36


0.129,38




0.154,38
0.130,37
0.155,37
0.104,40
0.131,36
0.159,32
0.129,40

0.154,45
0.130,46
0.130,52
0.156,55



0.157,62
0.107,66

0.166,73
0.143,74
0.165,72
0.112,70
0.191,73
0.163,71
0.224,78
0.159,80
0.284,80
5.289,120
5.199,116
5.236,119
5.268,121
5.232,118
5.211,119
5.218,121
5.197,122
5.228,117
5.249,116
5.228,117
5.243,121
5.266,114
5.311,119
5.241,114
5.213,113
5.280,111
5.276,110
5.255,111
5.240,107
5.353,104
5.392,108
5.546,109
6.920,109
5.500,110
5.496,109
5.496,109
5.525,110
5.450,110
5.433,112
5.406,118
5.438,120
5.463,120
5.469,115
5.508,112
5.456,105
5.621,109
6.319,109
6.312,107
6.194,109
3.691,102
3.894,117
3.900,112
3.911,115
3.909,108
3.991,110
3.978,113
3.995,111
5.545,102
5.562,100
5.570,96
7.534,99
7.514,90
7.236,94
0.137,70
4.709,104
4.745,107
0.236,86
4.790,106
0.197,88
4.811,105
4.858,104
4.786,105
0.197,88
4.794,107
4.685,104
4.723,101
4.628,96
4.746,95
5.262,94
0.158,67
5.503,98
5.549,97
0.163,71
0.112,70
0.162,70
0.160,69
0.169,75
0.171,76
0.243,74
5.481,105

5.499,103
0.294,75
0.249,78
5.483,99

0.218,74

0.137,70

0.137,70
0.165,72
0.159,68

0.160,69


0.184,68
0.257,65
0.183,67
0.107,66
0.207,62
0.107,63
0.132,64
0.234,68

0.107,63
5.670,102
5.698,103
5.684,106
5.766,108
6.949,110
4.232,115
3.917,110
4.221,112
4.016,110
4.057,108
4.016,110
3.972,105
3.898,105
7.139,107
5.542,108
5.542,108
5.406,105
5.439,107
5.464,107
6.988,107
6.953,111
6.878,111
6.886,113
5.527,117
5.583,125
2.694,105
2.796,104
2.857,100
2.715,92
2.839,96
2.814,109
2.877,118
2.979,124
2.975,123
2.949,123
2.874,104
2.833,90
2.779,85
2.739,82
2.753,66
2.753,65
2.753,65
2.701,64
2.707,71
2.767,76
2.745,78
2.733,71
2.735,72
2.738,74
2.745,83
2.745,83
2.809,86
2.788,87
2.827,89
2.821,88
2.814,87
2.852,93
2.852,93
2.872,92
2.885,90
2.809,86
2.873,88
2.853,84
2.860,95
2.896,97
2.826,93
2.848,98
3.109,105
3.166,107
3.460,113
3.537,114
3.536,107
3.578,105
3.589,108
3.562,95
3.500,88
3.536,90
3.596,103
2.995,115
3.114,126
4.369,112
3.699,111
3.572,110
3.432,99
3.370,109
3.155,104
3.040,100
3.144,101
3.382,99
3.449,92
3.493,96
3.440,86
3.432,84
3.401,88
3.366,86
3.354,83
3.304,83
3.316,86
3.308,84
3.280,83
3.275,82
3.186,79
3.186,79
3.178,76
3.186,79
3.210,79
3.245,81
3.284,79
3.308,84
3.354,83
3.378,78
3.407,84
3.373,82
3.432,84
3.411,85
3.448,82
3.460,85
3.456,84
3.464,86
3.464,86
3.469,87
3.468,91
3.432,89
3.400,92
3.406,93
3.311,94
3.064,94
2.952,98
2.961,100
2.944,96
2.978,98
3.360,106
3.324,97
3.349,97
4.353,101
3.592,102
3.781,100
3.784,95
3.658,100
3.501,98
3.658,100
3.821,98
4.077,100
4.024,99
4.073,99
4.142,98
4.128,90
4.134,96
3.753,99
3.337,100
3.335,106
3.384,106
3.373,97
3.537,95
3.771,88
3.907,95
3.891,97
3.980,107
3.981,114
3.411,113
3.325,110
3.314,107
3.073,96
2.827,89
2.912,95
2.912,95
2.898,92
3.013,94
3.797,98
2.974,97
2.886,95
2.930,93
2.986,94
2.900,98
2.935,100
4.131,108
4.262,110
4.274,113
4.270,112
4.240,117
4.256,115
4.258,109
4.205,108
4.223,106
4.241,104
4.297,106
4.104,95
3.956,95
3.952,94
4.029,90
4.250,85
4.335,103
3.444,91
3.382,84
3.493,91
3.542,91
3.706,94
4.048,99
4.443,99
4.709,98
4.794,107
4.845,114
5.012,119
5.343,121
5.336,119
3.699,111
3.512,107
3.578,105
3.571,97
3.589,101
3.584,100
3.522,97
3.522,97
3.419,96
3.400,92
3.480,93
3.283,89
3.432,89
3.456,84
3.362,85
7.833,93
7.652,88
7.721,91
7.657,93
7.676,92
7.661,94
7.632,93
5.291,95
5.184,99
3.497,103
3.451,104
3.564,108
3.454,105
3.485,100
3.436,100
3.332,93
3.238,100
3.098,96
3.008,93
2.859,90
2.813,96
2.874,98
2.872,92
2.735,91
2.713,97
2.770,98
2.691,98
2.770,98
2.794,92
2.800,93
4.436,92
4.252,95
3.463,95
3.465,101
3.413,90
3.339,90
3.069,86
2.805,85
2.795,88
2.861,86
2.961,85
3.172,91
3.135,89
2.911,90
2.827,89
2.801,84
2.805,85
2.771,83
2.781,80
2.745,78
2.749,84
2.784,101
2.761,91
2.770,104
2.833,107
2.827,99
4.427,101
4.183,96
3.505,93
3.518,96
3.542,96
3.617,87
6.751,77
6.713,80
6.718,81
6.768,81
6.782,84
6.713,80
3.097,81
6.768,81
6.773,82
6.743,81
6.782,84
6.753,83
6.768,81
3.094,86
2.913,86
2.971,87
3.052,82
4.413,98
4.387,92
4.405,91
4.330,81
4.373,85
4.344,84
-99999999
4.344,84
4.368,93
4.331,91
4.314,88
4.314,88
4.299,85
4.295,84
4.311,82
4.338,88
4.338,88
4.422,100
4.331,102
4.324,100
3.981,95
3.605,99
3.472,97
3.476,98
3.401,88
7.703,88
7.291,86
7.459,79
7.524,82
2.775,89
2.735,91
2.741,92
2.713,82
2.724,79
7.552,77
7.454,78
7.484,79
2.950,76
2.823,78
2.853,84
2.809,86
2.937,90
2.937,90
2.919,87
2.870,82
7.759,84
7.827,92
7.727,92
3.129,88
2.909,85
7.541,86
7.474,82
7.554,83
4.024,99
3.849,105
3.398,103
3.920,98
4.026,94
4.561,98
4.533,103
4.474,90
4.430,91
7.083,99
3.389,95
