0.107,55
0.156,51

0.132,55
0.158,60
0.106,52

0.157,57

0.156,47


0.156,48
0.157,53
0.130,45



0.181,51
0.131,50
0.157,56
6.653,83
6.626,88
6.645,87
6.607,89
6.644,91
6.631,93
6.614,95
6.602,98
6.627,104
6.627,104
6.619,102
6.623,103
6.619,102
6.627,104
6.569,102
6.630,105
6.627,104
6.605,105
6.630,105
6.584,106
6.609,106
6.591,108
6.588,107
6.599,110
6.595,109
6.573,103
6.584,106
6.573,103
6.569,102
6.563,107
6.557,99
6.577,98
6.598,97
6.557,99
6.531,93
6.544,96
6.544,96
6.556,93
6.531,93
6.556,93
6.544,96
6.544,91
6.535,94
6.575,92
6.513,90
6.544,96
6.564,95
6.544,96
6.539,95
6.585,94
6.560,94
6.573,97
6.552,98
6.513,90
6.544,96
6.556,93
6.548,97
6.569,96
6.510,94
6.523,97
6.519,96
6.544,96
6.536,100
6.507,99
6.527,98
6.544,102
6.544,96
6.539,95
6.548,97
6.531,93
6.506,93
6.519,91
6.544,96
6.510,94
6.494,96
6.544,102
6.523,97
6.502,98
6.539,95
6.548,103
6.552,98
6.523,97
6.573,103
6.523,97
6.523,97
6.523,97
6.566,101
6.523,97
6.552,98
6.548,97
6.548,97
6.539,95
6.561,100
6.557,99
6.525,92
6.527,98
6.507,99
6.548,97
6.531,93
6.502,98
6.514,95
6.531,93
6.485,94
6.507,89
6.502,98
6.544,96
6.535,94
6.557,99
6.582,99
6.589,95
6.790,95
7.250,103
7.469,101
7.485,89
7.460,89
7.527,92
7.616,114
7.783,131
7.560,112
7.683,118
7.672,109
8.908,97
7.550,97
7.410,84
7.453,92
7.454,88
7.438,94
7.661,106
8.929,102
7.497,91
7.522,96
6.035,94
6.045,73
6.086,85
6.119,91
6.148,103
6.227,104
6.219,102
6.255,105
6.309,106
6.191,101
6.248,103
6.284,106
6.280,105
6.244,102
6.216,101
6.166,101
6.210,94
6.315,101
6.314,114
6.239,114
6.144,102
6.123,103
6.094,96
6.113,90
6.061,85
6.026,88
7.550,97
7.472,91
7.491,90
7.546,96
7.633,93
7.596,96
7.568,101
7.559,99
7.550,97
7.568,101
7.596,102
7.638,100
7.579,98
7.505,98
7.512,106
7.505,104
7.494,101
7.487,106
7.510,112
7.500,116
7.521,115
7.523,109
7.464,100
7.435,99
7.469,108
7.477,110
7.455,104
7.448,109
7.477,110
7.487,106
